äädikaline, äädikalise, äädikalist, äädikalisesse|äädikalisse, äädikaliste, äädikalisi
notoorne, notoorse, notoorset, notoorsesse, notoorsete, notoorseid
nõudev, nõudva, nõudvat, nõudvasse, nõudvate, nõudvaid
nõudlik, nõudliku, nõudlikku, nõudlikusse|nõudlikku, nõudlike|nõudlikkude, nõudlikke|nõudlikkusid
nõustumatu, nõustumatu, nõustumatut, nõustumatusse, nõustumatute, nõustumatuid
nõustuv, nõustuva, nõustuvat, nõustuvasse, nõustuvate, nõustuvaid
nõutav, nõutava, nõutavat, nõutavasse, nõutavate, nõutavaid
nõutu, nõutu, nõutut, nõutusse, nõutute, nõutuid
novaatorlik, novaatorliku, novaatorlikku, novaatorlikusse|novaatorlikku, novaatorlike|novaatorlikkude, novaatorlikke|novaatorlikkusid
nudi, nudi, nudi, nudisse, nudide, nudisid
nuheldav, nuheldava, nuheldavat, nuheldavasse, nuheldavate, nuheldavaid
nukiline, nukilise, nukilist, nukilisesse|nukilisse, nukiliste, nukilisi
nukker, nukra, nukrat, nukrasse, nukrate, nukraid
numbriline, numbrilise, numbrilist, numbrilisesse|numbrilisse, numbriliste, numbrilisi
nurgeline, nurgelise, nurgelist, nurgelisesse|nurgelisse, nurgeliste, nurgelisi
nüri, nüri, nüri, nürisse, nüride, nürisid
nurjatu, nurjatu, nurjatut, nurjatusse, nurjatute, nurjatuid
nurjunud, nurjunu, nurjunut, nurjunusse, nurjunute, nurjunuid
nurkne, nurkse, nurkset, nurksesse, nurksete, nurkseid
nutikas, nutika, nutikat, nutikasse, nutikate, nutikaid
nuttev, nutva, nutvat, nutvasse, nutvate, nutvaid
nutune, nutuse, nutust, nutusesse, nutuste, nutuseid
nüüdne, nüüdse, nüüdset, nüüdsesse, nüüdsete, nüüdseid
objektiivne, objektiivse, objektiivset, objektiivsesse, objektiivsete, objektiivseid
obligatoorne, obligatoorse, obligatoorset, obligatoorsesse, obligatoorsete, obligatoorseid
obskurantne, obskurantse, obskurantset, obskurantsesse, obskurantsete, obskurantseid
obstsöönne, obstsöönse, obstsöönset, obstsöönsesse, obstsöönsete, obstsöönseid
odav, odava, odavat, odavasse, odavate, odavaid
õdus, õdusa, õdusat, õdusasse, õdusate, õdusaid
õel, õela, õelat, õelasse, õelate, õelaid
ofitsiaalne, ofitsiaalse, ofitsiaalset, ofitsiaalsesse, ofitsiaalsete, ofitsiaalseid
ogaline, ogalise, ogalist, ogalisesse|ogalisse, ogaliste, ogalisi
ogar, ogara, ogarat, ogarasse, ogarate, ogaraid
