äädikaline, äädikalise, äädikalist, äädikalisesse|äädikalisse, äädikaliste, äädikalisi
intellektuaalne, intellektuaalse, intellektuaalset, intellektuaalsesse, intellektuaalsete, intellektuaalseid
intelligentne, intelligentse, intelligentset, intelligentsesse, intelligentsete, intelligentseid
intensiivne, intensiivse, intensiivset, intensiivsesse, intensiivsete, intensiivseid
internatsionaalne, internatsionaalse, internatsionaalset, internatsionaalsesse, internatsionaalsete, internatsionaalseid
introvertne, introvertse, introvertset, introvertsesse, introvertsete, introvertseid
intuitiivne, intuitiivse, intuitiivset, intuitiivsesse, intuitiivsete, intuitiivseid
irdne, irdse, irdset, irdsesse, irdsete, irdseid
irisev, iriseva, irisevat, irisevasse, irisevate, irisevaid
irooniline, iroonilise, iroonilist, iroonilisesse|iroonilisse, irooniliste, iroonilisi
irvitav, irvitava, irvitavat, irvitavasse, irvitavate, irvitavaid
isalik, isaliku, isalikku, isalikusse|isalikku, isalike|isalikkude, isalikke|isalikkusid
isane, isase, isast, isasesse, isaste, isaseid
isekas, iseka, isekat, isekasse, isekate, isekaid
isetu, isetu, isetut, isetusse, isetute, isetuid
isiklik, isikliku, isiklikku, isiklikusse|isiklikku, isiklike|isiklikkude, isiklikke|isiklikkusid
isikuline, isikulise, isikulist, isikulisesse|isikulisse, isikuliste, isikulisi
isukas, isuka, isukat, isukasse, isukate, isukaid
isune, isuse, isust, isusesse, isuste, isuseid
isutu, isutu, isutut, isutusse, isutute, isutuid
ivakas, ivaka, ivakat, ivakasse, ivakate, ivakaid
jäägitu, jäägitu, jäägitut, jäägitusse, jäägitute, jäägituid
jäänud, jäänu, jäänut, jäänusse, jäänute, jäänuid
jääras, jäära, jäärast, jäärasse, jääraste, jääraid
jäätanud, jäätanu, jäätanut, jäätanusse, jäätanute, jäätanuid
jaatav, jaatava, jaatavat, jaatavasse, jaatavate, jaatavaid
jäätunud, jäätunu, jäätunut, jäätunusse, jäätunute, jäätunuid
jääv, jääva, jäävat, jäävasse, jäävate, jäävaid
jabur, jabura, jaburat, jaburasse, jaburate, jaburaid
jäetu, jäetu, jäetut, jäetusse, jäetute, jäetuid
jagus, jagusa, jagusat, jagusasse, jagusate, jagusaid
jahe, jaheda, jahedat, jahedasse, jahedate, jahedaid
jahmatav, jahmatava, jahmatavat, jahmatavasse, jahmatavate, jahmatavaid
jahmunud, jahmunu, jahmunut, jahmunusse, jahmunute, jahmunuid
jäik, jäiga, jäika, jäigasse|jäika, jäikade, jäiku|jäikasid
jäine, jäise, jäist, jäisesse, jäiste, jäiseid
jäle, jäleda, jäledat, jäledasse, jäledate, jäledaid
jalgne, jalgse, jalgset, jalgsesse, jalgsete, jalgseid
jälk, jälgi, jälki, jälgisse|jälki, jälkide, jälke|jälkisid
jäme, jämeda, jämedat, jämedasse, jämedate, jämedaid
jampslik, jampsliku, jampslikku, jampslikusse|jampslikku, jampslike|jampslikkude, jampslikke|jampslikkusid
jantlik, jantliku, jantlikku, jantlikusse|jantlikku, jantlike|jantlikkude, jantlikke|jantlikkusid
januline, janulise, janulist, janulisesse|janulisse, januliste, janulisi
janune, januse, janust, janusesse, januste, januseid
janunev, januneva, janunevat, janunevasse, janunevate, janunevaid
jaotav, jaotava, jaotavat, jaotavasse, jaotavate, jaotavaid
jaotine, jaotise, jaotist, jaotisesse|jaotisse, jaotiste, jaotisi
jaotuslik, jaotusliku, jaotuslikku, jaotuslikusse|jaotuslikku, jaotuslike|jaotuslikkude, jaotuslikke|jaotuslikkusid
järgmine, järgmise, järgmist, järgmisesse|järgmisse, järgmiste, järgmisi|järgmiseid
järgne, järgse, järgset, järgsesse, järgsete, järgseid
järgnev, järgneva, järgnevat, järgnevasse, järgnevate, järgnevaid
järguline, järgulise, järgulist, järgulisesse|järgulisse, järguliste, järgulisi
järjetu, järjetu, järjetut, järjetusse, järjetute, järjetuid
järsakas, järsaka, järsakat, järsakasse, järsakate, järsakaid
järsk, järsu, järsku, järsusse|järsku, järskude, järske|järskusid
järvine, järvise, järvist, järvisesse, järviste, järviseid
jässakas, jässaka, jässakat, jässakasse, jässakate, jässakaid
jätkuv, jätkuva, jätkuvat, jätkuvasse, jätkuvate, jätkuvaid
jätmatu, jätmatu, jätmatut, jätmatusse, jätmatute, jätmatuid
jätteline, jättelise, jättelist, jättelisesse|jättelisse, jätteliste, jättelisi
jõgine, jõgise, jõgist, jõgisesse, jõgiste, jõgiseid
jõhker, jõhkra, jõhkrat, jõhkrasse, jõhkrate, jõhkraid
jonklev, jonkleva, jonklevat, jonklevasse, jonklevate, jonklevaid
jõnklik, jõnkliku, jõnklikku, jõnklikusse|jõnklikku, jõnklike|jõnklikkude, jõnklikke|jõnklikkusid
jonksuline, jonksulise, jonksulist, jonksulisesse|jonksulisse, jonksuliste, jonksulisi
jonnakas, jonnaka, jonnakat, jonnakasse, jonnakate, jonnakaid
joobnud, joobnu, joobnut, joobnusse, joobnute, joobnuid
joobunud, joobunu, joobunut, joobunusse, joobunute, joobunuid
joodik, joodiku, joodikut, joodikusse, joodikute, joodikuid
jooksev, jooksva, jooksvat, jooksvasse, jooksvate, jooksvaid
joomane, joomase, joomast, joomasesse, joomaste, joomaseid
joondatu, joondatu, joondatut, joondatusse, joondatute, joondatuid
jooneline, joonelise, joonelist, joonelisesse|joonelisse, jooneliste, joonelisi
joonik, jooniku, joonikut, joonikusse, joonikute, joonikuid
jooniline, joonilise, joonilist, joonilisesse|joonilisse, jooniliste, joonilisi
joovastunud, joovastunu, joovastunut, joovastunusse, joovastunute, joovastunuid
jõuduv, jõuduva, jõuduvat, jõuduvasse, jõuduvate, jõuduvaid
jõuetu, jõuetu, jõuetut, jõuetusse, jõuetute, jõuetuid
jõukas, jõuka, jõukat, jõukasse, jõukate, jõukaid
jõuline, jõulise, jõulist, jõulisesse|jõulisse, jõuliste, jõulisi|jõuliseid
jube, jubeda, jubedat, jubedasse, jubedate, jubedaid
judaistlik, judaistliku, judaistlikku, judaistlikusse|judaistlikku, judaistlike|judaistlikkude, judaistlikke|judaistlikkusid
juhatav, juhatava, juhatavat, juhatavasse, juhatavate, juhatavaid
juhendav, juhendava, juhendavat, juhendavasse, juhendavate, juhendavaid
juhislik, juhisliku, juhislikku, juhislikusse|juhislikku, juhislike|juhislikkude, juhislikke|juhislikkusid
juhm, juhmi, juhmi, juhmisse|juhmi, juhmide, juhme|juhmisid
juhtiv, juhtiva, juhtivat, juhtivasse, juhtivate, juhtivaid
juhuline, juhulise, juhulist, juhulisesse|juhulisse, juhuliste, juhulisi
juhuslik, juhusliku, juhuslikku, juhuslikusse|juhuslikku, juhuslike|juhuslikkude, juhuslikke|juhuslikkusid
julge, julge, julget, julgesse, julgete, julgeid
julgustav, julgustava, julgustavat, julgustavasse, julgustavate, julgustavaid
julm, julma, julma, julmasse|julma, julmade, julmi|julmasid
jultunud, jultunu, jultunut, jultunusse, jultunute, jultunuid
jumaldav, jumaldava, jumaldavat, jumaldavasse, jumaldavate, jumaldavaid
jumalik, jumaliku, jumalikku, jumalikusse|jumalikku, jumalike|jumalikkude, jumalikke|jumalikkusid
jumekas, jumeka, jumekat, jumekasse, jumekate, jumekaid
jumetu, jumetu, jumetut, jumetusse, jumetute, jumetuid
juriidiline, juriidilise, juriidilist, juriidilisesse|juriidilisse, juriidiliste, juriidilisi
jutiline, jutilise, jutilist, jutilisesse|jutilisse, jutiliste, jutilisi
jutukas, jutuka, jutukat, jutukasse, jutukate, jutukaid
jutuline, jutulise, jutulist, jutulisesse|jutulisse, jutuliste, jutulisi
jutustav, jutustava, jutustavat, jutustavasse, jutustavate, jutustavaid
juukseline, juukselise, juukselist, juukselisesse|juukselisse, juukseliste, juukselisi
juurdunud, juurdunu, juurdunut, juurdunusse, juurdunute, juurdunuid
juuretu, juuretu, juuretut, juuretusse, juuretute, juuretuid
juusjas, juusja, juusjat, juusjasse, juusjate, juusjaid
juveliirne, juveliirse, juveliirset, juveliirsesse, juveliirsete, juveliirseid
kääbuslik, kääbusliku, kääbuslikku, kääbuslikusse|kääbuslikku, kääbuslike|kääbuslikkude, kääbuslikke|kääbuslikkusid
kaalukas, kaaluka, kaalukat, kaalukasse, kaalukate, kaalukaid
kaaluline, kaalulise, kaalulist, kaalulisesse|kaalulisse, kaaluliste, kaalulisi
kaalumatu, kaalumatu, kaalumatut, kaalumatusse, kaalumatute, kaalumatuid
kaalustatu, kaalustatu, kaalustatut, kaalustatusse, kaalustatute, kaalustatuid
kaalutletud, kaalutletu, kaalutletut, kaalutletusse, kaalutletute, kaalutletuid
kaalutlev, kaalutleva, kaalutlevat, kaalutlevasse, kaalutlevate, kaalutlevaid
kaalutud, kaalutu, kaalutut, kaalutusse, kaalutute, kaalutuid
kaalutu, kaalutu, kaalutut, kaalutusse, kaalutute, kaalutuid
kaaluv, kaaluva, kaaluvat, kaaluvasse, kaaluvate, kaaluvaid
kaame, kaame, kaamet, kaamesse, kaamete, kaameid
käändeline, käändelise, käändelist, käändelisesse|käändelisse, käändeliste, käändelisi
käänuline, käänulise, käänulist, käänulisesse|käänulisse, käänuliste, käänulisi
kääraline, kääralise, kääralist, kääralisesse|kääralisse, kääraliste, kääralisi
kaarjas, kaarja, kaarjat, kaarjasse, kaarjate, kaarjaid
kääruline, käärulise, käärulist, käärulisesse|käärulisse, kääruliste, käärulisi
käbe, käbeda, käbedat, käbedasse, käbedate, käbedaid
kadaklik, kadakliku, kadaklikku, kadaklikusse|kadaklikku, kadaklike|kadaklikkude, kadaklikke|kadaklikkusid
kade, kadeda, kadedat, kadedasse, kadedate, kadedaid
kadunud, kadunu, kadunut, kadunusse, kadunute, kadunuid
kaduv, kaduva, kaduvat, kaduvasse, kaduvate, kaduvaid
kaeblev, kaebleva, kaeblevat, kaeblevasse, kaeblevate, kaeblevaid
kaeblik, kaebliku, kaeblikku, kaeblikusse|kaeblikku, kaeblike|kaeblikkude, kaeblikke|kaeblikkusid
käeline, käelise, käelist, käelisesse|käelisse, käeliste, käelisi|käeliseid
kaelne, kaelse, kaelset, kaelsesse, kaelsete, kaelseid
kaemuslik, kaemusliku, kaemuslikku, kaemuslikusse|kaemuslikku, kaemuslike|kaemuslikkude, kaemuslikke|kaemuslikkusid
kaetud, kaetu, kaetut, kaetusse, kaetute, kaetuid
kahanev, kahaneva, kahanevat, kahanevasse, kahanevate, kahanevaid
kahar, kahara, kaharat, kaharasse, kaharate, kaharaid
kähar, kähara, käharat, käharasse, käharate, käharaid
kahene, kahese, kahest, kahesesse, kaheste, kaheseid
kahetine, kahetise, kahetist, kahetisesse|kahetisse, kahetiste, kahetisi
kahetsetav, kahetsetava, kahetsetavat, kahetsetavasse, kahetsetavate, kahetsetavaid
kahjulik, kahjuliku, kahjulikku, kahjulikusse|kahjulikku, kahjulike|kahjulikkude, kahjulikke|kahjulikkusid
kahjurlik, kahjurliku, kahjurlikku, kahjurlikusse|kahjurlikku, kahjurlike|kahjurlikkude, kahjurlikke|kahjurlikkusid
kahjustatu, kahjustatu, kahjustatut, kahjustatusse, kahjustatute, kahjustatuid
kahjustav, kahjustava, kahjustavat, kahjustavasse, kahjustavate, kahjustavaid
kahjutu, kahjutu, kahjutut, kahjutusse, kahjutute, kahjutuid
kahkjas, kahkja, kahkjat, kahkjasse, kahkjate, kahkjaid
kahtlev, kahtleva, kahtlevat, kahtlevasse, kahtlevate, kahtlevaid
kahtlustav, kahtlustava, kahtlustavat, kahtlustavasse, kahtlustavate, kahtlustavaid
kahutanud, kahutanu, kahutanut, kahutanusse, kahutanute, kahutanuid
kahvatu, kahvatu, kahvatut, kahvatusse, kahvatute, kahvatuid
käidav, käidava, käidavat, käidavasse, käidavate, käidavaid
kaine, kaine, kainet, kainesse, kainete, kaineid
kaitsetu, kaitsetu, kaitsetut, kaitsetusse, kaitsetute, kaitsetuid
kaitsev, kaitsva, kaitsvat, kaitsvasse, kaitsvate, kaitsvaid
kaitstud, kaitstu, kaitstut, kaitstusse, kaitstute, kaitstuid
kajaline, kajalise, kajalist, kajalisesse|kajalisse, kajaliste, kajalisi
kakofooniline, kakofoonilise, kakofoonilist, kakofoonilisesse|kakofoonilisse, kakofooniliste, kakofoonilisi
kaksuslik, kaksusliku, kaksuslikku, kaksuslikusse|kaksuslikku, kaksuslike|kaksuslikkude, kaksuslikke|kaksuslikkusid
kalbe, kalbe, kalbet, kalbesse, kalbete, kalbeid
kaldeline, kaldelise, kaldelist, kaldelisesse|kaldelisse, kaldeliste, kaldelisi
kaldumatu, kaldumatu, kaldumatut, kaldumatusse, kaldumatute, kaldumatuid
kalduv, kalduva, kalduvat, kalduvasse, kalduvate, kalduvaid
kalendaarne, kalendaarse, kalendaarset, kalendaarsesse, kalendaarsete, kalendaarseid
kalendriline, kalendrilise, kalendrilist, kalendrilisesse|kalendrilisse, kalendriliste, kalendrilisi
kalgendunud, kalgendunu, kalgendunut, kalgendunusse, kalgendunute, kalgendunuid
kalk, kalgi, kalki, kalgisse|kalki, kalkide, kalke|kalkisid
kallakas, kallaka, kallakat, kallakasse, kallakate, kallakaid
kallis, kalli, kallist, kallisse, kallite|kalliste, kalleid
kamandav, kamandava, kamandavat, kamandavasse, kamandavate, kamandavaid
kammitsetud, kammitsetu, kammitsetut, kammitsetusse, kammitsetute, kammitsetuid
kandev, kandva, kandvat, kandvasse, kandvate, kandvaid
kandiline, kandilise, kandilist, kandilisesse|kandilisse, kandiliste, kandilisi
kange, kange, kanget, kangesse, kangete, kangeid
kangelaslik, kangelasliku, kangelaslikku, kangelaslikusse|kangelaslikku, kangelaslike|kangelaslikkude, kangelaslikke|kangelaslikkusid
kängunud, kängunu, kängunut, kängunusse, kängunute, kängunuid
kannatajalik, kannatajaliku, kannatajalikku, kannatajalikusse|kannatajalikku, kannatajalike|kannatajalikkude, kannatajalikke|kannatajalikkusid
kannatamatu, kannatamatu, kannatamatut, kannatamatusse, kannatamatute, kannatamatuid
kannatanud, kannatanu, kannatanut, kannatanusse, kannatanute, kannatanuid
kannatav, kannatava, kannatavat, kannatavasse, kannatavate, kannatavaid
kannatlik, kannatliku, kannatlikku, kannatlikusse|kannatlikku, kannatlike|kannatlikkude, kannatlikke|kannatlikkusid
kannibaalne, kannibaalse, kannibaalset, kannibaalsesse, kannibaalsete, kannibaalseid
kannibalistlik, kannibalistliku, kannibalistlikku, kannibalistlikusse|kannibalistlikku, kannibalistlike|kannibalistlikkude, kannibalistlikke|kannibalistlikkusid
kanooniline, kanoonilise, kanoonilist, kanoonilisesse|kanoonilisse, kanooniliste, kanoonilisi
kantav, kantava, kantavat, kantavasse, kantavate, kantavaid
kantseleilik, kantseleiliku, kantseleilikku, kantseleilikusse|kantseleilikku, kantseleilike|kantseleilikkude, kantseleilikke|kantseleilikkusid
kaootiline, kaootilise, kaootilist, kaootilisesse|kaootilisse, kaootiliste, kaootilisi
kapitaalne, kapitaalse, kapitaalset, kapitaalsesse, kapitaalsete, kapitaalseid
kapitulantlik, kapitulantliku, kapitulantlikku, kapitulantlikusse|kapitulantlikku, kapitulantlike|kapitulantlikkude, kapitulantlikke|kapitulantlikkusid
kapriisne, kapriisse, kapriisset, kapriissesse, kapriissete, kapriisseid
karakteerne, karakteerse, karakteerset, karakteersesse, karakteersete, karakteerseid
karakteristlik, karakteristliku, karakteristlikku, karakteristlikusse|karakteristlikku, karakteristlike|karakteristlikkude, karakteristlikke|karakteristlikkusid
karastav, karastava, karastavat, karastavasse, karastavate, karastavaid
käratsev, käratseva, käratsevat, käratsevasse, käratsevate, käratsevaid
karbane, karbase, karbast, karbasesse, karbaste, karbaseid
kardetav, kardetava, kardetavat, kardetavasse, kardetavate, kardetavaid
kare, kareda, karedat, karedasse, karedate, karedaid
käre, käreda, käredat, käredasse, käredate, käredaid
karge, karge, karget, kargesse, kargete, kargeid
kärgjas, kärgja, kärgjat, kärgjasse, kärgjate, kärgjaid
karistamatu, karistamatu, karistamatut, karistamatusse, karistamatute, karistamatuid
karistatav, karistatava, karistatavat, karistatavasse, karistatavate, karistatavaid
karjuv, karjuva, karjuvat, karjuvasse, karjuvate, karjuvaid
kärklik, kärkliku, kärklikku, kärklikusse|kärklikku, kärklike|kärklikkude, kärklikke|kärklikkusid
kärmas, kärma, kärmast, kärmasse, kärmaste, kärmaid
kärme, kärme, kärmet, kärmesse, kärmete, kärmeid
karm, karmi, karmi, karmisse|karmi, karmide, karme|karmisid
karmune, karmuse, karmust, karmusesse, karmuste, karmuseid
kärsitu, kärsitu, kärsitut, kärsitusse, kärsitute, kärsituid
karske, karske, karsket, karskesse, karskete, karskeid
kartev, kartva, kartvat, kartvasse, kartvate, kartvaid
kartlik, kartliku, kartlikku, kartlikusse|kartlikku, kartlike|kartlikkude, kartlikke|kartlikkusid
kartmatu, kartmatu, kartmatut, kartmatusse, kartmatute, kartmatuid
karune, karuse, karust, karusesse, karuste, karuseid
karvane, karvase, karvast, karvasesse, karvaste, karvaseid
karvendav, karvendava, karvendavat, karvendavasse, karvendavate, karvendavaid
karvutu, karvutu, karvutut, karvutusse, karvutute, karvutuid
kasin, kasina, kasinat, kasinasse, kasinate, kasinaid
käsitamatu, käsitamatu, käsitamatut, käsitamatusse, käsitamatute, käsitamatuid
kasitud, kasitu, kasitut, kasitusse, kasitute, kasituid
käskiv, käskiva, käskivat, käskivasse, käskivate, käskivaid
käsnjas, käsnja, käsnjat, käsnjasse, käsnjate, käsnjaid
kastene, kastese, kastest, kastesesse|kastesse, kasteste, kastesi|kasteseid
kastreeritud, kastreeritu, kastreeritut, kastreeritusse, kastreeritute, kastreerituid
kasulik, kasuliku, kasulikku, kasulikusse|kasulikku, kasulike|kasulikkude, kasulikke|kasulikkusid
kasutatav, kasutatava, kasutatavat, kasutatavasse, kasutatavate, kasutatavaid
käsutav, käsutava, käsutavat, käsutavasse, käsutavate, käsutavaid
kasutu, kasutu, kasutut, kasutusse, kasutute, kasutuid
kasvanu, kasvanu, kasvanut, kasvanusse, kasvanute, kasvanuid
kasvanulik, kasvanuliku, kasvanulikku, kasvanulikusse|kasvanulikku, kasvanulike|kasvanulikkude, kasvanulikke|kasvanulikkusid
kasvatamatu, kasvatamatu, kasvatamatut, kasvatamatusse, kasvatamatute, kasvatamatuid
kasvatatud, kasvatatu, kasvatatut, kasvatatusse, kasvatatute, kasvatatuid
kasvatuslik, kasvatusliku, kasvatuslikku, kasvatuslikusse|kasvatuslikku, kasvatuslike|kasvatuslikkude, kasvatuslikke|kasvatuslikkusid
kasvav, kasvava, kasvavat, kasvavasse, kasvavate, kasvavaid
kasvuline, kasvulise, kasvulist, kasvulisesse|kasvulisse, kasvuliste, kasvulisi
katastroofiline, katastroofilise, katastroofilist, katastroofilisesse|katastroofilisse, katastroofiliste, katastroofilisi
kategooriline, kategoorilise, kategoorilist, kategoorilisesse|kategoorilisse, kategooriliste, kategoorilisi
katkeline, katkelise, katkelist, katkelisesse|katkelisse, katkeliste, katkelisi
katkematu, katkematu, katkematut, katkematusse, katkematute, katkematuid
katkendlik, katkendliku, katkendlikku, katkendlikusse|katkendlikku, katkendlike|katkendlikkude, katkendlikke|katkendlikkusid
katkenud, katkenu, katkenut, katkenusse, katkenute, katkenuid
katkev, katkeva, katkevat, katkevasse, katkevate, katkevaid
katkine, katkise, katkist, katkisesse|katkisse, katkiste, katkisi|katkiseid
katoliiklik, katoliikliku, katoliiklikku, katoliiklikusse|katoliiklikku, katoliiklike|katoliiklikkude, katoliiklikke|katoliiklikkusid
katseline, katselise, katselist, katselisesse|katselisse, katseliste, katselisi
katsutav, katsutava, katsutavat, katsutavasse, katsutavate, katsutavaid
kattuv, kattuva, kattuvat, kattuvasse, kattuvate, kattuvaid
kauane, kauase, kauast, kauasesse, kauaste, kauaseid
kaubanduslik, kaubandusliku, kaubanduslikku, kaubanduslikusse|kaubanduslikku, kaubanduslike|kaubanduslikkude, kaubanduslikke|kaubanduslikkusid
kaubeldav, kaubeldava, kaubeldavat, kaubeldavasse, kaubeldavate, kaubeldavaid
kaudne, kaudse, kaudset, kaudsesse, kaudsete, kaudseid
kauge, kauge, kauget, kaugesse, kaugete, kaugeid
kaunis, kauni, kaunist, kaunisse, kaunite|kauniste, kauneid
kaunistatu, kaunistatu, kaunistatut, kaunistatusse, kaunistatute, kaunistatuid
kaunistav, kaunistava, kaunistavat, kaunistavasse, kaunistavate, kaunistavaid
kausaalne, kausaalse, kausaalset, kausaalsesse, kausaalsete, kausaalseid
kausjas, kausja, kausjat, kausjasse, kausjate, kausjaid
kavalerlik, kavalerliku, kavalerlikku, kavalerlikusse|kavalerlikku, kavalerlike|kavalerlikkude, kavalerlikke|kavalerlikkusid
kaval, kavala, kavalat, kavalasse, kavalate, kavalaid
kavandlik, kavandliku, kavandlikku, kavandlikusse|kavandlikku, kavandlike|kavandlikkude, kavandlikke|kavandlikkusid
kavatsetu, kavatsetu, kavatsetut, kavatsetusse, kavatsetute, kavatsetuid
kavatsuslik, kavatsusliku, kavatsuslikku, kavatsuslikusse|kavatsuslikku, kavatsuslike|kavatsuslikkude, kavatsuslikke|kavatsuslikkusid
kavernoosne, kavernoosse, kavernoosset, kavernoossesse, kavernoossete, kavernoosseid
keelatud, keelatu, keelatut, keelatusse, keelatute, keelatuid
keelav, keelava, keelavat, keelavasse, keelavate, keelavaid
keelduv, keelduva, keelduvat, keelduvasse, keelduvate, keelduvaid
keeleline, keelelise, keelelist, keelelisesse|keelelisse, keeleliste, keelelisi
keeletu, keeletu, keeletut, keeletusse, keeletute, keeletuid
keelne, keelse, keelset, keelsesse, keelsete, keelseid
keelustatud, keelustatu, keelustatut, keelustatusse, keelustatute, keelustatuid
keemiline, keemilise, keemilist, keemilisesse|keemilisse, keemiliste, keemilisi
keenu, keenu, keenut, keenusse, keenute, keenuid
keeritsjas, keeritsja, keeritsjat, keeritsjasse, keeritsjate, keeritsjaid
keerukas, keeruka, keerukat, keerukasse, keerukate, keerukaid
keeruline, keerulise, keerulist, keerulisesse|keerulisse, keeruliste, keerulisi
keerutav, keerutava, keerutavat, keerutavasse, keerutavate, keerutavaid
keevaline, keevalise, keevalist, keevalisesse|keevalisse, keevaliste, keevalisi
kehakas, kehaka, kehakat, kehakasse, kehakate, kehakaid
kehalik, kehaliku, kehalikku, kehalikusse|kehalikku, kehalike|kehalikkude, kehalikke|kehalikkusid
kehaline, kehalise, kehalist, kehalisesse|kehalisse, kehaliste, kehalisi
kehtestav, kehtestava, kehtestavat, kehtestavasse, kehtestavate, kehtestavaid
kehtetu, kehtetu, kehtetut, kehtetusse, kehtetute, kehtetuid
kehtiv, kehtiva, kehtivat, kehtivasse, kehtivate, kehtivaid
kehv, kehva, kehva, kehvasse|kehva, kehvade, kehvi|kehvasid
keigarlik, keigarliku, keigarlikku, keigarlikusse|keigarlikku, keigarlike|keigarlikkude, keigarlikke|keigarlikkusid
keiserlik, keiserliku, keiserlikku, keiserlikusse|keiserlikku, keiserlike|keiserlikkude, keiserlikke|keiserlikkusid
kelkiv, kelkiva, kelkivat, kelkivasse, kelkivate, kelkivaid
kelmikas, kelmika, kelmikat, kelmikasse, kelmikate, kelmikaid
kelm, kelmi, kelmi, kelmisse|kelmi, kelmide, kelme|kelmisid
kelp, kelba, kelpa, kelbasse|kelpa, kelpade, kelpi|kelpasid
kena, kena, kena, kenasse, kenade, keni|kenasid
kentsakas, kentsaka, kentsakat, kentsakasse, kentsakate, kentsakaid
kerajas, keraja, kerajat, kerajasse, kerajate, kerajaid
kerge, kerge, kerget, kergesse, kergete, kergeid
kerglane, kerglase, kerglast, kerglasesse|kerglasse, kerglaste, kerglasi|kerglaseid
kerjav, kerjava, kerjavat, kerjavasse, kerjavate, kerjavaid
kerkiv, kerkiva, kerkivat, kerkivasse, kerkivate, kerkivaid
kesine, kesise, kesist, kesisesse, kesiste, kesiseid
keskendunud, keskendunu, keskendunut, keskendunusse, keskendunute, keskendunuid
keskmine, keskmise, keskmist, keskmisesse|keskmisse, keskmiste, keskmisi|keskmiseid
keskne, keskse, keskset, kesksesse, kesksete, keskseid
kestendav, kestendava, kestendavat, kestendavasse, kestendavate, kestendavaid
kestev, kestva, kestvat, kestvasse, kestvate, kestvaid
ketendav, ketendava, ketendavat, ketendavasse, ketendavate, ketendavaid
ketune, ketuse, ketust, ketusesse, ketuste, ketuseid
kibe, kibeda, kibedat, kibedasse, kibedate, kibedaid
kiderik, kideriku, kiderikku, kiderikusse|kiderikku, kiderike|kiderikkude, kiderikke|kiderikkusid
kidur, kidura, kidurat, kidurasse, kidurate, kiduraid
kiduv, kiduva, kiduvat, kiduvasse, kiduvate, kiduvaid
kihisev, kihiseva, kihisevat, kihisevasse, kihisevate, kihisevaid
kihvtine, kihvtise, kihvtist, kihvtisesse, kihvtiste, kihvtiseid
kiilas, kiila, kiilast, kiilasse|kiila, kiilaste, kiilaid
kiimaline, kiimalise, kiimalist, kiimalisesse|kiimalisse, kiimaliste, kiimalisi
kiire, kiire, kiiret, kiiresse, kiirete, kiireid
kiirjas, kiirja, kiirjat, kiirjasse, kiirjate, kiirjaid
kiirustav, kiirustava, kiirustavat, kiirustavasse, kiirustavate, kiirustavaid
kiiskav, kiiskava, kiiskavat, kiiskavasse, kiiskavate, kiiskavaid
kiitev, kiitva, kiitvat, kiitvasse, kiitvate, kiitvaid
kiitlev, kiitleva, kiitlevat, kiitlevasse, kiitlevate, kiitlevaid
kiitlik, kiitliku, kiitlikku, kiitlikusse|kiitlikku, kiitlike|kiitlikkude, kiitlikke|kiitlikkusid
kiitsakas, kiitsaka, kiitsakat, kiitsakasse, kiitsakate, kiitsakaid
kiivas, kiiva, kiivast, kiivasse, kiivaste, kiivaid
kile, kileda, kiledat, kiledasse, kiledate, kiledaid
kime, kimeda, kimedat, kimedasse, kimedate, kimedaid
kindel, kindla, kindlat, kindlasse, kindlate, kindlaid
kindlusetu, kindlusetu, kindlusetut, kindlusetusse, kindlusetute, kindlusetuid
kinnine, kinnise, kinnist, kinnisesse|kinnisse, kinniste, kinnisi|kinniseid
kinnistunu, kinnistunu, kinnistunut, kinnistunusse, kinnistunute, kinnistunuid
kipakas, kipaka, kipakat, kipakasse, kipakate, kipakaid
kiratsev, kiratseva, kiratsevat, kiratsevasse, kiratsevate, kiratsevaid
kiretu, kiretu, kiretut, kiretusse, kiretute, kiretuid
kirev, kireva, kirevat, kirevasse, kirevate, kirevaid
kirglik, kirgliku, kirglikku, kirglikusse|kirglikku, kirglike|kirglikkude, kirglikke|kirglikkusid
kiriklik, kirikliku, kiriklikku, kiriklikusse|kiriklikku, kiriklike|kiriklikkude, kiriklikke|kiriklikkusid
kirjalik, kirjaliku, kirjalikku, kirjalikusse|kirjalikku, kirjalike|kirjalikkude, kirjalikke|kirjalikkusid
kirjaline, kirjalise, kirjalist, kirjalisesse|kirjalisse, kirjaliste, kirjalisi
kirjanduslik, kirjandusliku, kirjanduslikku, kirjanduslikusse|kirjanduslikku, kirjanduslike|kirjanduslikkude, kirjanduslikke|kirjanduslikkusid
kirjatud, kirjatu, kirjatut, kirjatusse, kirjatute, kirjatuid
kirjeldamatu, kirjeldamatu, kirjeldamatut, kirjeldamatusse, kirjeldamatute, kirjeldamatuid
kirjeldav, kirjeldava, kirjeldavat, kirjeldavasse, kirjeldavate, kirjeldavaid
kirju, kirju, kirjut, kirjusse, kirjude|kirjute, kirjuid|kirjusid
kirjutatud, kirjutatu, kirjutatut, kirjutatusse, kirjutatute, kirjutatuid
kisakas, kisaka, kisakat, kisakasse, kisakate, kisakaid
kisendav, kisendava, kisendavat, kisendavasse, kisendavate, kisendavaid
kiskjalik, kiskjaliku, kiskjalikku, kiskjalikusse|kiskjalikku, kiskjalike|kiskjalikkude, kiskjalikke|kiskjalikkusid
kiskuv, kiskuva, kiskuvat, kiskuvasse, kiskuvate, kiskuvaid
