aadeldama, aadeldada, aadeldab, aadeldatakse, aadeldage, aadeldas, aadeldanud, aadeldatud
aistima, aistida, aistib, aistitakse, aistige, aistis, aistinud, aistitud
aitama, aidata, aitab, aidatakse, aidake, aitas, aidanud, aidatud
äiutama, äiutada, äiutab, äiutatakse, äiutage, äiutas, äiutanud, äiutatud
ajakohastama, ajakohastada, ajakohastab, ajakohastatakse, ajakohastage, ajakohastas, ajakohastanud, ajakohastatud
ajama, ajada, ajab, aetakse, ajage, ajas, ajanud, aetud
ajastama, ajastada, ajastab, ajastatakse, ajastage, ajastas, ajastanud, ajastatud
ajatama, ajatada, ajatab, ajatatakse, ajatage, ajatas, ajatanud, ajatatud
ajendama, ajendada, ajendab, ajendatakse, ajendage, ajendas, ajendanud, ajendatud
ajuma, ajuda, ajub, ajutakse, ajuge, ajus, ajunud, ajutud
akendama, akendada, akendab, akendatakse, akendage, akendas, akendanud, akendatud
aklimatiseerima, aklimatiseerida, aklimatiseerib, aklimatiseeritakse, aklimatiseerige, aklimatiseeris, aklimatiseerinud, aklimatiseeritud
aklimatsieeruma, aklimatsieeruda, aklimatsieerub, aklimatsieerutakse, aklimatsieeruge, aklimatsieerus, aklimatsieerunud, aklimatsieerutud
akommodeeruma, akommodeeruda, akommodeerub, akommodeerutakse, akommodeeruge, akommodeerus, akommodeerunud, akommodeerutud
akompaneerima, akompaneerida, akompaneerib, akompaneeritakse, akompaneerige, akompaneeris, akompaneerinud, akompaneeritud
akordeerima, akordeerida, akordeerib, akordeeritakse, akordeerige, akordeeris, akordeerinud, akordeeritud
akrediteerima, akrediteerida, akrediteerib, akrediteeritakse, akrediteerige, akrediteeris, akrediteerinud, akrediteeritud
aktiivistama, aktiivistada, aktiivistab, aktiivistatakse, aktiivistage, aktiivistas, aktiivistanud, aktiivistatud
aktiivistuma, aktiivistuda, aktiivistub, aktiivistutakse, aktiivistuge, aktiivistus, aktiivistunud, aktiivistutud
aktiveerima, aktiveerida, aktiveerib, aktiveeritakse, aktiveerige, aktiveeris, aktiveerinud, aktiveeritud
aktiveeruma, aktiveeruda, aktiveerub, aktiveerutakse, aktiveeruge, aktiveerus, aktiveerunud, aktiveerutud
aktiviseerima, aktiviseerida, aktiviseerib, aktiviseeritakse, aktiviseerige, aktiviseeris, aktiviseerinud, aktiviseeritud
aktiviseeruma, aktiviseeruda, aktiviseerub, aktiviseerutakse, aktiviseeruge, aktiviseerus, aktiviseerunud, aktiviseerutud
aktsentueerima, aktsentueerida, aktsentueerib, aktsentueeritakse, aktsentueerige, aktsentueeris, aktsentueerinud, aktsentueeritud
aktsepteerima, aktsepteerida, aktsepteerib, aktsepteeritakse, aktsepteerige, aktsepteeris, aktsepteerinud, aktsepteeritud
aktualiseeruma, aktualiseeruda, aktualiseerub, aktualiseerutakse, aktualiseeruge, aktualiseerus, aktualiseerunud, aktualiseerutud
akumuleerima, akumuleerida, akumuleerib, akumuleeritakse, akumuleerige, akumuleeris, akumuleerinud, akumuleeritud
