aadeldama, aadeldada, aadeldab, aadeldatakse, aadeldage, aadeldas, aadeldanud, aadeldatud
soetama, soetada, soetab, soetatakse, soetage, soetas, soetanud, soetatud
sogama, sogada, sogab, sogatakse, sogage, sogas, soganud, sogatud
sogastuma, sogastuda, sogastub, sogastutakse, sogastuge, sogastus, sogastunud, sogastutud
sõgenema, sõgeneda, sõgeneb, sõgenetakse, sõgenege, sõgenes, sõgenenud, sõgenetud
sõgestuma, sõgestuda, sõgestub, sõgestutakse, sõgestuge, sõgestus, sõgestunud, sõgestutud
sõidutama, sõidutada, sõidutab, sõidutatakse, sõidutage, sõidutas, sõidutanud, sõidutatud
soiguma, soiguda, soigub|soiub, soigutakse|soiutakse, soiguge, soigus, soigunud, soigutud|soiutud
soikuma, soikuda, soikub, soikutakse, soikuge, soikus, soikunud, soikutud
sõilmitsema, sõilmitseda, sõilmitseb, sõilmitsetakse, sõilmitsege, sõilmitses, sõilmitsenud, sõilmitsetud
sõimama, sõimata, sõimab, sõimatakse, sõimake, sõimas, sõimanud, sõimatud
sõimlema, sõimelda, sõimleb, sõimeldakse, sõimelge, sõimles, sõimelnud, sõimeldud
sõitlema, sõidelda, sõitleb, sõideldakse, sõidelge, sõitles, sõidelnud, sõideldud
sõitma, sõita, sõidab, sõidetakse, sõitke, sõitis, sõitnud, sõidetud
sõjaväestama, sõjaväestada, sõjaväestab, sõjaväestatakse, sõjaväestage, sõjaväestas, sõjaväestanud, sõjaväestatud
šokeerima, šokeerida, šokeerib, šokeeritakse, šokeerige, šokeeris, šokeerinud, šokeeritud
sokutama, sokutada, sokutab, sokutatakse, sokutage, sokutas, sokutanud, sokutatud
soleerima, soleerida, soleerib, soleeritakse, soleerige, soleeris, soleerinud, soleeritud
solgerdama, solgerdada, solgerdab, solgerdatakse, solgerdage, solgerdas, solgerdanud, solgerdatud
solgutama, solgutada, solgutab, solgutatakse, solgutage, solgutas, solgutanud, solgutatud
solidariseeruma, solidariseeruda, solidariseerub, solidariseerutakse, solidariseeruge, solidariseerus, solidariseerunud, solidariseerutud
solisema, soliseda, soliseb, solisetakse, solisege, solises, solisenud, solisetud
solistama, solistada, solistab, solistatakse, solistage, solistas, solistanud, solistatud
solkima, solkida, solgib, solgitakse, solkige, solkis, solkinud, solgitud
solksama, solksata, solksab, solksatakse, solksake, solksas, solksanud, solksatud
solksatama, solksatada, solksatab, solksatatakse, solksatage, solksatas, solksatanud, solksatatud
solksuma, solksuda, solksub, solksutakse, solksuge, solksus, solksunud, solksutud
solksutama, solksutada, solksutab, solksutatakse, solksutage, solksutas, solksutanud, solksutatud
sõlmima, sõlmida, sõlmib, sõlmitakse, sõlmige, sõlmis, sõlminud, sõlmitud
sõlmuma, sõlmuda, sõlmub, sõlmutakse, sõlmuge, sõlmus, sõlmunud, sõlmutud
sõltuma, sõltuda, sõltub, sõltutakse, sõltuge, sõltus, sõltunud, sõltutud
solvama, solvata, solvab, solvatakse, solvake, solvas, solvanud, solvatud
solvuma, solvuda, solvub, solvutakse, solvuge, solvus, solvunud, solvutud
sõmerdama, sõmerdada, sõmerdab, sõmerdatakse, sõmerdage, sõmerdas, sõmerdanud, sõmerdatud
sõmerduma, sõmerduda, sõmerdub, sõmerdutakse, sõmerduge, sõmerdus, sõmerdunud, sõmerdutud
sompama, sombata, sompab, sombatakse, sombake, sompas, sombanud, sombatud
sompuma, sompuda, sompub, somputakse, sompuge, sompus, sompunud, somputud
sõnakõlksutama, sõnakõlksutada, sõnakõlksutab, sõnakõlksutatakse, sõnakõlksutage, sõnakõlksutas, sõnakõlksutanud, sõnakõlksutatud
sõnama, sõnada, sõnab, sõnatakse, sõnage, sõnas, sõnanud, sõnatud
sõnastama, sõnastada, sõnastab, sõnastatakse, sõnastage, sõnastas, sõnastanud, sõnastatud
sõnastuma, sõnastuda, sõnastub, sõnastutakse, sõnastuge, sõnastus, sõnastunud, sõnastutud
sondeerima, sondeerida, sondeerib, sondeeritakse, sondeerige, sondeeris, sondeerinud, sondeeritud
sõnelema, sõnelda|sõneleda, sõneleb, sõneldakse|sõneletakse, sõnelge|sõnelege, sõneles, sõnelnud|sõnelenud, sõneldud|sõneletud
songerdama, songerdada, songerdab, songerdatakse, songerdage, songerdas, songerdanud, songerdatud
songima, songida, songib, songitakse, songige, songis, songinud, songitud
sonima, sonida, sonib, sonitakse, sonige, sonis, soninud, sonitud
sonkima, sonkida, songib, songitakse, sonkige, sonkis, sonkinud, songitud
sõnuma, sõnuda, sõnub, sõnutakse, sõnuge, sõnus, sõnunud, sõnutud
sööbima, sööbida, sööbib, sööbitakse, sööbige, sööbis, sööbinud, sööbitud
soodustama, soodustada, soodustab, soodustatakse, soodustage, soodustas, soodustanud, soodustatud
soojendama, soojendada, soojendab, soojendatakse, soojendage, soojendas, soojendanud, soojendatud
soojenema, soojeneda, soojeneb, soojenetakse, soojenege, soojenes, soojenenud, soojenetud
soojuma, soojuda, soojub, soojutakse, soojuge, soojus, soojunud, soojutud
soojustama, soojustada, soojustab, soojustatakse, soojustage, soojustas, soojustanud, soojustatud
soojutama, soojutada, soojutab, soojutatakse, soojutage, soojutas, soojutanud, soojutatud
soolama, soolata, soolab, soolatakse, soolake, soolas, soolanud, soolatud
soolatama, soolatada, soolatab, soolatatakse, soolatage, soolatas, soolatanud, soolatatud
soolduma, soolduda, sooldub, sooldutakse, soolduge, sooldus, sooldunud, sooldutud
sööma, süüa, sööb, süüakse, sööge, sõi, söönud, söödud
soomendama, soomendada, soomendab, soomendatakse, soomendage, soomendas, soomendanud, soomendatud
soomepärastama, soomepärastada, soomepärastab, soomepärastatakse, soomepärastage, soomepärastas, soomepärastanud, soomepärastatud
soomepärastuma, soomepärastuda, soomepärastub, soomepärastutakse, soomepärastuge, soomepärastus, soomepärastunud, soomepärastutud
soomestama, soomestada, soomestab, soomestatakse, soomestage, soomestas, soomestanud, soomestatud
soomestuma, soomestuda, soomestub, soomestutakse, soomestuge, soomestus, soomestunud, soomestutud
soomustama, soomustada, soomustab, soomustatakse, soomustage, soomustas, soomustanud, soomustatud
soonestuma, soonestuda, soonestub, soonestutakse, soonestuge, soonestus, soonestunud, soonestutud
soonima, soonida, soonib, soonitakse, soonige, soonis, sooninud, soonitud
sooritama, sooritada, sooritab, sooritatakse, sooritage, sooritas, sooritanud, sooritatud
soosima, soosida, soosib, soositakse, soosige, soosis, soosinud, soositud
sööstma, söösta, sööstab, sööstetakse, sööstke, sööstis, sööstnud, sööstetud
soostuma, soostuda, soostub, soostutakse, soostuge, soostus, soostunud, soostutud
söötma, sööta, söödab, söödetakse, söötke, söötis, söötnud, söödetud
soovima, soovida, soovib, soovitakse, soovige, soovis, soovinud, soovitud
soovitama, soovitada, soovitab, soovitatakse, soovitage, soovitas, soovitanud, soovitatud
söövitama, söövitada, söövitab, söövitatakse, söövitage, söövitas, söövitanud, söövitatud
sopistama, sopistada, sopistab, sopistatakse, sopistage, sopistas, sopistanud, sopistatud
sopistuma, sopistuda, sopistub, sopistutakse, sopistuge, sopistus, sopistunud, sopistutud
šoppama, šopata, šoppab, šopatakse, šopake, šoppas, šopanud, šopatud
soputama, soputada, soputab, soputatakse, soputage, soputas, soputanud, soputatud
sõrendama, sõrendada, sõrendab, sõrendatakse, sõrendage, sõrendas, sõrendanud, sõrendatud
sõrenema, sõreneda, sõreneb, sõrenetakse, sõrenege, sõrenes, sõrenenud, sõrenetud
sorgeldama, sorgeldada, sorgeldab, sorgeldatakse, sorgeldage, sorgeldas, sorgeldanud, sorgeldatud
sorima, sorida, sorib, soritakse, sorige, soris, sorinud, soritud
sorisema, soriseda, soriseb, sorisetakse, sorisege, sorises, sorisenud, sorisetud
soristama, soristada, soristab, soristatakse, soristage, soristas, soristanud, soristatud
sorkima, sorkida, sorgib, sorgitakse, sorkige, sorkis, sorkinud, sorgitud
sörkima, sörkida, sörgib, sörgitakse, sörkige, sörkis, sörkinud, sörgitud
sõrmitsema, sõrmitseda, sõrmitseb, sõrmitsetakse, sõrmitsege, sõrmitses, sõrmitsenud, sõrmitsetud
sorteerima, sorteerida, sorteerib, sorteeritakse, sorteerige, sorteeris, sorteerinud, sorteeritud
sortima, sortida, sordib, sorditakse, sortige, sortis, sortinud, sorditud
sortsatama, sortsatada, sortsatab, sortsatatakse, sortsatage, sortsatas, sortsatanud, sortsatatud
sosisklema, sosiskleda, sosiskleb, sosiskletakse, sosisklege, sosiskles, sosisklenud, sosiskletud
sosistama, sosistada, sosistab, sosistatakse, sosistage, sosistas, sosistanud, sosistatud
sõtkuma, sõtkuda, sõtkub, sõtkutakse, sõtkuge, sõtkus, sõtkunud, sõtkutud
sotsialiseerima, sotsialiseerida, sotsialiseerib, sotsialiseeritakse, sotsialiseerige, sotsialiseeris, sotsialiseerinud, sotsialiseeritud
sotsialiseeruma, sotsialiseeruda, sotsialiseerub, sotsialiseerutakse, sotsialiseeruge, sotsialiseerus, sotsialiseerunud, sotsialiseerutud
sotsiologiseerima, sotsiologiseerida, sotsiologiseerib, sotsiologiseeritakse, sotsiologiseerige, sotsiologiseeris, sotsiologiseerinud, sotsiologiseeritud
sõudma, sõuda, sõuab, sõutakse, sõudke, sõudis, sõudnud, sõutud
sovetiseerima, sovetiseerida, sovetiseerib, sovetiseeritakse, sovetiseerige, sovetiseeris, sovetiseerinud, sovetiseeritud
spämmima, spämmida, spämmib, spämmitakse, spämmige, spämmis, spämminud, spämmitud
spekuleerima, spekuleerida, spekuleerib, spekuleeritakse, spekuleerige, spekuleeris, spekuleerinud, spekuleeritud
spetsialiseerima, spetsialiseerida, spetsialiseerib, spetsialiseeritakse, spetsialiseerige, spetsialiseeris, spetsialiseerinud, spetsialiseeritud
spetsialiseeruma, spetsialiseeruda, spetsialiseerub, spetsialiseerutakse, spetsialiseeruge, spetsialiseerus, spetsialiseerunud, spetsialiseerutud
spetsifitseerima, spetsifitseerida, spetsifitseerib, spetsifitseeritakse, spetsifitseerige, spetsifitseeris, spetsifitseerinud, spetsifitseeritud
spikerdama, spikerdada, spikerdab, spikerdatakse, spikerdage, spikerdas, spikerdanud, spikerdatud
spioneerima, spioneerida, spioneerib, spioneeritakse, spioneerige, spioneeris, spioneerinud, spioneeritud
spioonima, spioonida, spioonib, spioonitakse, spioonige, spioonis, spiooninud, spioonitud
spiritualiseerima, spiritualiseerida, spiritualiseerib, spiritualiseeritakse, spiritualiseerige, spiritualiseeris, spiritualiseerinud, spiritualiseeritud
spondeerima, spondeerida, spondeerib, spondeeritakse, spondeerige, spondeeris, spondeerinud, spondeeritud
sponseerima, sponseerida, sponseerib, sponseeritakse, sponseerige, sponseeris, sponseerinud, sponseeritud
sponsima, sponsida, sponsib, sponsitakse, sponsige, sponsis, sponsinud, sponsitud
sportima, sportida, spordib, sporditakse, sportige, sportis, sportinud, sporditud
sportvõimlema, sportvõimelda, sportvõimleb, sportvõimeldakse, sportvõimelge, sportvõimles, sportvõimelnud, sportvõimeldud
spurtima, spurtida, spurdib, spurditakse, spurtige, spurtis, spurtinud, spurditud
spuufima, spuufida, spuufib, spuufitakse, spuufige, spuufis, spuufinud, spuufitud
staaritsema, staaritseda, staaritseb, staaritsetakse, staaritsege, staaritses, staaritsenud, staaritsetud
stabiliseerima, stabiliseerida, stabiliseerib, stabiliseeritakse, stabiliseerige, stabiliseeris, stabiliseerinud, stabiliseeritud
stabiliseeruma, stabiliseeruda, stabiliseerub, stabiliseerutakse, stabiliseeruge, stabiliseerus, stabiliseerunud, stabiliseerutud
stagneeruma, stagneeruda, stagneerub, stagneerutakse, stagneeruge, stagneerus, stagneerunud, stagneerutud
standardima, standardida, standardib, standarditakse, standardige, standardis, standardinud, standarditud
standardiseerima, standardiseerida, standardiseerib, standardiseeritakse, standardiseerige, standardiseeris, standardiseerinud, standardiseeritud
stantsima, stantsida, stantsib, stantsitakse, stantsige, stantsis, stantsinud, stantsitud
startima, startida, stardib, starditakse, startige, startis, startinud, starditud
stažeerima, stažeerida, stažeerib, stažeeritakse, stažeerige, stažeeris, stažeerinud, stažeeritud
stenografeerima, stenografeerida, stenografeerib, stenografeeritakse, stenografeerige, stenografeeris, stenografeerinud, stenografeeritud
steppima, steppida, stepib, stepitakse, steppige, steppis, steppinud, stepitud
stereotüüpima, stereotüüpida, stereotüübib, stereotüübitakse, stereotüüpige, stereotüüpis, stereotüüpinud, stereotüübitud
steriliseerima, steriliseerida, steriliseerib, steriliseeritakse, steriliseerige, steriliseeris, steriliseerinud, steriliseeritud
stiliseerima, stiliseerida, stiliseerib, stiliseeritakse, stiliseerige, stiliseeris, stiliseerinud, stiliseeritud
stimuleerima, stimuleerida, stimuleerib, stimuleeritakse, stimuleerige, stimuleeris, stimuleerinud, stimuleeritud
stoppama, stopata, stoppab, stopatakse, stopake, stoppas, stopanud, stopatud
storneerima, storneerida, storneerib, storneeritakse, storneerige, storneeris, storneerinud, storneeritud
streikima, streikida, streigib, streigitakse, streikige, streikis, streikinud, streigitud
struktureerima, struktureerida, struktureerib, struktureeritakse, struktureerige, struktureeris, struktureerinud, struktureeritud
struktuuristama, struktuuristada, struktuuristab, struktuuristatakse, struktuuristage, struktuuristas, struktuuristanud, struktuuristatud
studeerima, studeerida, studeerib, studeeritakse, studeerige, studeeris, studeerinud, studeeritud
sublimeerima, sublimeerida, sublimeerib, sublimeeritakse, sublimeerige, sublimeeris, sublimeerinud, sublimeeritud
sublimeeruma, sublimeeruda, sublimeerub, sublimeerutakse, sublimeeruge, sublimeerus, sublimeerunud, sublimeerutud
subordineerima, subordineerida, subordineerib, subordineeritakse, subordineerige, subordineeris, subordineerinud, subordineeritud
subsideerima, subsideerida, subsideerib, subsideeritakse, subsideerige, subsideeris, subsideerinud, subsideeritud
substantiveeruma, substantiveeruda, substantiveerub, substantiveerutakse, substantiveeruge, substantiveerus, substantiveerunud, substantiveerutud
substitueerima, substitueerida, substitueerib, substitueeritakse, substitueerige, substitueeris, substitueerinud, substitueeritud
sügama, sügada, sügab, sügatakse, sügage, sügas, süganud, sügatud
sügavdama, sügavdada, sügavdab, sügavdatakse, sügavdage, sügavdas, sügavdanud, sügavdatud
sügavkülmutama, sügavkülmutada, sügavkülmutab, sügavkülmutatakse, sügavkülmutage, sügavkülmutas, sügavkülmutanud, sügavkülmutatud
sügavnema, sügavneda, sügavneb, sügavnetakse, sügavnege, sügavnes, sügavnenud, sügavnetud
sügelema, sügelda|sügeleda, sügeleb, sügeldakse|sügeletakse, sügelge|sügelege, sügeles, sügelnud|sügelenud, sügeldud|sügeletud
sugema, sugeda, soeb, soetakse, sugege, suges, sugenud, soetud
sugenema, sugeneda, sugeneb, sugenetakse, sugenege, sugenes, sugenenud, sugenetud
sugereerima, sugereerida, sugereerib, sugereeritakse, sugereerige, sugereeris, sugereerinud, sugereeritud
sugutama, sugutada, sugutab, sugutatakse, sugutage, sugutas, sugutanud, sugutatud
sugutuma, sugutuda, sugutub, sugututakse, sugutuge, sugutus, sugutunud, sugututud
suhestama, suhestada, suhestab, suhestatakse, suhestage, suhestas, suhestanud, suhestatud
suhestuma, suhestuda, suhestub, suhestutakse, suhestuge, suhestus, suhestunud, suhestutud
suhkrustama, suhkrustada, suhkrustab, suhkrustatakse, suhkrustage, suhkrustas, suhkrustanud, suhkrustatud
suhkrustuma, suhkrustuda, suhkrustub, suhkrustutakse, suhkrustuge, suhkrustus, suhkrustunud, suhkrustutud
suhkurdama, suhkurdada, suhkurdab, suhkurdatakse, suhkurdage, suhkurdas, suhkurdanud, suhkurdatud
suhtlema, suhelda, suhtleb, suheldakse, suhelge, suhtles, suhelnud, suheldud
suhtuma, suhtuda, suhtub, suhtutakse, suhtuge, suhtus, suhtunud, suhtutud
suigatama, suigatada, suigatab, suigatatakse, suigatage, suigatas, suigatanud, suigatatud
suigutama, suigutada, suigutab, suigutatakse, suigutage, suigutas, suigutanud, suigutatud
suikuma, suikuda, suigub, suigutakse, suikuge, suikus, suikunud, suigutud
suisutama, suisutada, suisutab, suisutatakse, suisutage, suisutas, suisutanud, suisutatud
suitsema, suitseda, suitseb, suitsetakse, suitsege, suitses, suitsenud, suitsetud
suitsetama, suitsetada, suitsetab, suitsetatakse, suitsetage, suitsetas, suitsetanud, suitsetatud
suitsuma, suitsuda, suitsub, suitsutakse, suitsuge, suitsus, suitsunud, suitsutud
suitsutama, suitsutada, suitsutab, suitsutatakse, suitsutage, suitsutas, suitsutanud, suitsutatud
sujuma, sujuda, sujub, sujutakse, sujuge, sujus, sujunud, sujutud
sukelduma, sukelduda, sukeldub, sukeldutakse, sukelduge, sukeldus, sukeldunud, sukeldutud
sulama, sulada, sulab, sulatakse, sulage, sulas, sulanud, sulatud
sulandama, sulandada, sulandab, sulandatakse, sulandage, sulandas, sulandanud, sulandatud
sulanduma, sulanduda, sulandub, sulandutakse, sulanduge, sulandus, sulandunud, sulandutud
sulatama, sulatada, sulatab, sulatatakse, sulatage, sulatas, sulatanud, sulatatud
süldistuma, süldistuda, süldistub, süldistutakse, süldistuge, süldistus, süldistunud, süldistutud
sülelema, sülelda|süleleda, süleleb, süleldakse|süleletakse, sülelge|sülelege, süleles, sülelnud|sülelenud, süleldud|süleletud
sulestuma, sulestuda, sulestub, sulestutakse, sulestuge, sulestus, sulestunud, sulestutud
sülgama, süljata, sülgab, süljatakse, süljake, sülgas, süljanud, süljatud
sulgema, sulgeda, suleb|sulgeb, suletakse|sulgetakse, sulgege, sulges, sulgenud, suletud|sulgetud
sulgima, sulgida, sulgib|sulib, sulgitakse|sulitakse, sulgige, sulgis, sulginud, sulgitud|sulitud
sulguma, sulguda, sulgub, sulgutakse, sulguge, sulgus, sulgunud, sulgutud
sulisema, suliseda, suliseb, sulisetakse, sulisege, sulises, sulisenud, sulisetud
sulistama, sulistada, sulistab, sulistatakse, sulistage, sulistas, sulistanud, sulistatud
sülitama, sülitada, sülitab, sülitatakse, sülitage, sülitas, sülitanud, sülitatud
sulksuma, sulksuda, sulksub, sulksutakse, sulksuge, sulksus, sulksunud, sulksutud
süllabeerima, süllabeerida, süllabeerib, süllabeeritakse, süllabeerige, süllabeeris, süllabeerinud, süllabeeritud
sulpsama, sulpsata, sulpsab, sulpsatakse, sulpsake, sulpsas, sulpsanud, sulpsatud
sulpsatama, sulpsatada, sulpsatab, sulpsatatakse, sulpsatage, sulpsatas, sulpsatanud, sulpsatatud
sulpsuma, sulpsuda, sulpsub, sulpsutakse, sulpsuge, sulpsus, sulpsunud, sulpsutud
sulpsutama, sulpsutada, sulpsutab, sulpsutatakse, sulpsutage, sulpsutas, sulpsutanud, sulpsutatud
sulustama, sulustada, sulustab, sulustatakse, sulustage, sulustas, sulustanud, sulustatud
sumama, sumada, sumab, sumatakse, sumage, sumas, sumanud, sumatud
sumatama, sumatada, sumatab, sumatatakse, sumatage, sumatas, sumatanud, sumatatud
sümboliseerima, sümboliseerida, sümboliseerib, sümboliseeritakse, sümboliseerige, sümboliseeris, sümboliseerinud, sümboliseeritud
sumbuma, sumbuda, sumbub, sumbutakse, sumbuge, sumbus, sumbunud, sumbutud
sumendama, sumendada, sumendab, sumendatakse, sumendage, sumendas, sumendanud, sumendatud
sumenema, sumeneda, sumeneb, sumenetakse, sumenege, sumenes, sumenenud, sumenetud
sumisema, sumiseda, sumiseb, sumisetakse, sumisege, sumises, sumisenud, sumisetud
sumistama, sumistada, sumistab, sumistatakse, sumistage, sumistas, sumistanud, sumistatud
summeerima, summeerida, summeerib, summeeritakse, summeerige, summeeris, summeerinud, summeeritud
summeeruma, summeeruda, summeerub, summeerutakse, summeeruge, summeerus, summeerunud, summeerutud
summutama, summutada, summutab, summutatakse, summutage, summutas, summutanud, summutatud
sumpama, sumbata, sumpab, sumbatakse, sumbake, sumpas, sumbanud, sumbatud
sundima, sundida, sunnib, sunnitakse, sundige, sundis, sundinud, sunnitud
sündima, sündida, sünnib, sünnitakse, sündige, sündis, sündinud, sünnitud
sundvõõrandama, sundvõõrandada, sundvõõrandab, sundvõõrandatakse, sundvõõrandage, sundvõõrandas, sundvõõrandanud, sundvõõrandatud
süngestama, süngestada, süngestab, süngestatakse, süngestage, süngestas, süngestanud, süngestatud
süngestuma, süngestuda, süngestub, süngestutakse, süngestuge, süngestus, süngestunud, süngestutud
sünkroniseeruma, sünkroniseeruda, sünkroniseerub, sünkroniseerutakse, sünkroniseeruge, sünkroniseerus, sünkroniseerunud, sünkroniseerutud
sünkroonima, sünkroonida, sünkroonib, sünkroonitakse, sünkroonige, sünkroonis, sünkrooninud, sünkroonitud
sünkrooniseerima, sünkrooniseerida, sünkrooniseerib, sünkrooniseeritakse, sünkrooniseerige, sünkrooniseeris, sünkrooniseerinud, sünkrooniseeritud
sünnitama, sünnitada, sünnitab, sünnitatakse, sünnitage, sünnitas, sünnitanud, sünnitatud
sünteesima, sünteesida, sünteesib, sünteesitakse, sünteesige, sünteesis, sünteesinud, sünteesitud
suplema, supelda, supleb, supeldakse, supelge, suples, supelnud, supeldud
suplitseerima, suplitseerida, suplitseerib, suplitseeritakse, suplitseerige, suplitseeris, suplitseerinud, suplitseeritud
supsama, supsata, supsab, supsatakse, supsake, supsas, supsanud, supsatud
supsatama, supsatada, supsatab, supsatatakse, supsatage, supsatas, supsatanud, supsatatud
surema, surra, sureb, surrakse, surge, suri, surnud, surdud
suretama, suretada, suretab, suretatakse, suretage, suretas, suretanud, suretatud
surfama, surfata, surfab, surfatakse, surfake, surfas, surfanud, surfatud
surisema, suriseda, suriseb, surisetakse, surisege, surises, surisenud, surisetud
suristama, suristada, suristab, suristatakse, suristage, suristas, suristanud, suristatud
sürjutama, sürjutada, sürjutab, sürjutatakse, sürjutage, sürjutas, sürjutanud, sürjutatud
surkima, surkida, surgib, surgitakse, surkige, surkis, surkinud, surgitud
surmama, surmata, surmab, surmatakse, surmake, surmas, surmanud, surmatud
suruma, suruda, surub, surutakse, suruge, surus, surunud, surutud
susima, susida, susib, susitakse, susige, susis, susinud, susitud
susisema, susiseda, susiseb, susisetakse, susisege, susises, susisenud, susisetud
susistama, susistada, susistab, susistatakse, susistage, susistas, susistanud, susistatud
suskama, susata, suskab, susatakse, susake, suskas, susanud, susatud
suskima, suskida, susib, susitakse, suskige, suskis, suskinud, susitud
suspendeerima, suspendeerida, suspendeerib, suspendeeritakse, suspendeerige, suspendeeris, suspendeerinud, suspendeeritud
sussutama, sussutada, sussutab, sussutatakse, sussutage, sussutas, sussutanud, sussutatud
süstematiseerima, süstematiseerida, süstematiseerib, süstematiseeritakse, süstematiseerige, süstematiseeris, süstematiseerinud, süstematiseeritud
süstima, süstida, süstib, süstitakse, süstige, süstis, süstinud, süstitud
sütitama, sütitada, sütitab, sütitatakse, sütitage, sütitas, sütitanud, sütitatud
süttima, süttida, sütib|süttib, sütitakse|süttitakse, süttige, süttis, süttinud, sütitud|süttitud
suubuma, suubuda, suubub, suubutakse, suubuge, suubus, suubunud, suubutud
süüdistama, süüdistada, süüdistab, süüdistatakse, süüdistage, süüdistas, süüdistanud, süüdistatud
suudlema, suudelda, suudleb, suudeldakse, suudelge, suudles, suudelnud, suudeldud
suumima, suumida, suumib, suumitakse, suumige, suumis, suuminud, suumitud
suunama, suunata, suunab, suunatakse, suunake, suunas, suunanud, suunatud
suunduma, suunduda, suundub, suundutakse, suunduge, suundus, suundunud, suundutud
suunistama, suunistada, suunistab, suunistatakse, suunistage, suunistas, suunistanud, suunistatud
suunitlema, suunitleda, suunitleb, suunitletakse, suunitlege, suunitles, suunitlenud, suunitletud
suupärastama, suupärastada, suupärastab, suupärastatakse, suupärastage, suupärastas, suupärastanud, suupärastatud
suurendama, suurendada, suurendab, suurendatakse, suurendage, suurendas, suurendanud, suurendatud
suurenema, suureneda, suureneb, suurenetakse, suurenege, suurenes, suurenenud, suurenetud
suursugustama, suursugustada, suursugustab, suursugustatakse, suursugustage, suursugustas, suursugustanud, suursugustatud
suurustama, suurustada, suurustab, suurustatakse, suurustage, suurustas, suurustanud, suurustatud
suusatama, suusatada, suusatab, suusatatakse, suusatage, suusatas, suusatanud, suusatatud
süütama, süüdata, süütab, süüdatakse, süüdake, süütas, süüdanud, süüdatud
suutma, suuta, suudab, suudetakse, suutke, suutis, suutnud, suudetud
süüvima, süüvida, süüvib, süüvitakse, süüvige, süüvis, süüvinud, süüvitud
suvatsema, suvatseda, suvatseb, suvatsetakse, suvatsege, suvatses, suvatsenud, suvatsetud
süvendama, süvendada, süvendab, süvendatakse, süvendage, süvendas, süvendanud, süvendatud
süvenema, süveneda, süveneb, süvenetakse, süvenege, süvenes, süvenenud, süvenetud
suvitama, suvitada, suvitab, suvitatakse, suvitage, suvitas, suvitanud, suvitatud
svingima, svingida, svingib, svingitakse, svingige, svingis, svinginud, svingitud
taandama, taandada, taandab, taandatakse, taandage, taandas, taandanud, taandatud
taandarenema, taandareneda, taandareneb, taandarenetakse, taandarenege, taandarenes, taandarenenud, taandarenetud
taanduma, taanduda, taandub, taandutakse, taanduge, taandus, taandunud, taandutud
taaruma, taaruda, taarub, taarutakse, taaruge, taarus, taarunud, taarutud
taarutama, taarutada, taarutab, taarutatakse, taarutage, taarutas, taarutanud, taarutatud
taasalustama, taasalustada, taasalustab, taasalustatakse, taasalustage, taasalustas, taasalustanud, taasalustatud
taaselustama, taaselustada, taaselustab, taaselustatakse, taaselustage, taaselustas, taaselustanud, taaselustatud
taaserastama, taaserastada, taaserastab, taaserastatakse, taaserastage, taaserastas, taaserastanud, taaserastatud
taasesitama, taasesitada, taasesitab, taasesitatakse, taasesitage, taasesitas, taasesitanud, taasesitatud
taasestama, taasestada, taasestab, taasestatakse, taasestage, taasestas, taasestanud, taasestatud
taasilmuma, taasilmuda, taasilmub, taasilmutakse, taasilmuge, taasilmus, taasilmunud, taasilmutud
taasiseseisvuma, taasiseseisvuda, taasiseseisvub, taasiseseisvutakse, taasiseseisvuge, taasiseseisvus, taasiseseisvunud, taasiseseisvutud
taaskäivitama, taaskäivitada, taaskäivitab, taaskäivitatakse, taaskäivitage, taaskäivitas, taaskäivitanud, taaskäivitatud
taaskasutama, taaskasutada, taaskasutab, taaskasutatakse, taaskasutage, taaskasutas, taaskasutanud, taaskasutatud
taaslooma, taasluua, taasloob, taasluuakse, taaslooge, taaslõi, taasloonud, taasloodud
taasomandama, taasomandada, taasomandab, taasomandatakse, taasomandage, taasomandas, taasomandanud, taasomandatud
taaspookima, taaspookida, taaspoogib, taaspoogitakse, taaspookige, taaspookis, taaspookinud, taaspoogitud
taasrelvastama, taasrelvastada, taasrelvastab, taasrelvastatakse, taasrelvastage, taasrelvastas, taasrelvastanud, taasrelvastatud
taastama, taastada, taastab, taastatakse, taastage, taastas, taastanud, taastatud
taastekitama, taastekitada, taastekitab, taastekitatakse, taastekitage, taastekitas, taastekitanud, taastekitatud
taastekkima, taastekkida, taastekib|taastekkib, taastekitakse|taastekkitakse, taastekkige, taastekkis, taastekkinud, taastekitud|taastekkitud
taastöötlema, taastöödelda, taastöötleb, taastöödeldakse, taastöödelge, taastöötles, taastöödelnud, taastöödeldud
taastootma, taastoota, taastoodab, taastoodetakse, taastootke, taastootis, taastootnud, taastoodetud
taastuma, taastuda, taastub, taastutakse, taastuge, taastus, taastunud, taastutud
taasturustama, taasturustada, taasturustab, taasturustatakse, taasturustage, taasturustas, taasturustanud, taasturustatud
taasühendama, taasühendada, taasühendab, taasühendatakse, taasühendage, taasühendas, taasühendanud, taasühendatud
taasühinema, taasühineda, taasühineb, taasühinetakse, taasühinege, taasühines, taasühinenud, taasühinetud
tabama, tabada, tabab, tabatakse, tabage, tabas, tabanud, tabatud
tabeldama, tabeldada, tabeldab, tabeldatakse, tabeldage, tabeldas, tabeldanud, tabeldatud
tabuleerima, tabuleerida, tabuleerib, tabuleeritakse, tabuleerige, tabuleeris, tabuleerinud, tabuleeritud
