aasima, aasida, aasib, aasitakse, aasige, aasis, aasinud, aasitud
avaldama, avaldada, avaldab, avaldatakse, avaldage, avaldas, avaldanud, avaldatud
avalduma, avalduda, avaldub, avaldutakse, avalduge, avaldus, avaldunud, avaldutud
avameelduma, avameelduda, avameeldub, avameeldutakse, avameelduge, avameeldus, avameeldunud, avameeldutud
avameelitsema, avameelitseda, avameelitseb, avameelitsetakse, avameelitsege, avameelitses, avameelitsenud, avameelitsetud
avanema, avaneda, avaneb, avanetakse, avanege, avanes, avanenud, avanetud
avansseerima, avansseerida, avansseerib, avansseeritakse, avansseerige, avansseeris, avansseerinud, avansseeritud
avardama, avardada, avardab, avardatakse, avardage, avardas, avardanud, avardatud
avarduma, avarduda, avardub, avardutakse, avarduge, avardus, avardunud, avardutud
avastama, avastada, avastab, avastatakse, avastage, avastas, avastanud, avastatud
avastuma, avastuda, avastub, avastutakse, avastuge, avastus, avastunud, avastutud
balansseerima, balansseerida, balansseerib, balansseeritakse, balansseerige, balansseeris, balansseerinud, balansseeritud
barbariseeruma, barbariseeruda, barbariseerub, barbariseerutakse, barbariseeruge, barbariseerus, barbariseerunud, barbariseerutud
barrikadeerima, barrikadeerida, barrikadeerib, barrikadeeritakse, barrikadeerige, barrikadeeris, barrikadeerinud, barrikadeeritud
baseeruma, baseeruda, baseerub, baseerutakse, baseeruge, baseerus, baseerunud, baseerutud
blaseeruma, blaseeruda, blaseerub, blaseerutakse, blaseeruge, blaseerus, blaseerunud, blaseerutud
blokeerima, blokeerida, blokeerib, blokeeritakse, blokeerige, blokeeris, blokeerinud, blokeeritud
blokeeruma, blokeeruda, blokeerub, blokeerutakse, blokeeruge, blokeerus, blokeerunud, blokeerutud
boheemitsema, boheemitseda, boheemitseb, boheemitsetakse, boheemitsege, boheemitses, boheemitsenud, boheemitsetud
boikoteerima, boikoteerida, boikoteerib, boikoteeritakse, boikoteerige, boikoteeris, boikoteerinud, boikoteeritud
bolševiseeruma, bolševiseeruda, bolševiseerub, bolševiseerutakse, bolševiseeruge, bolševiseerus, bolševiseerunud, bolševiseerutud
braveerima, braveerida, braveerib, braveeritakse, braveerige, braveeris, braveerinud, braveeritud
bravuuritsema, bravuuritseda, bravuuritseb, bravuuritsetakse, bravuuritsege, bravuuritses, bravuuritsenud, bravuuritsetud
broneerima, broneerida, broneerib, broneeritakse, broneerige, broneeris, broneerinud, broneeritud
bürokraadistuma, bürokraadistuda, bürokraadistub, bürokraadistutakse, bürokraadistuge, bürokraadistus, bürokraadistunud, bürokraadistutud
bürokratiseeruma, bürokratiseeruda, bürokratiseerub, bürokratiseerutakse, bürokratiseeruge, bürokratiseerus, bürokratiseerunud, bürokratiseerutud
dateerima, dateerida, dateerib, dateeritakse, dateerige, dateeris, dateerinud, dateeritud
dateeruma, dateeruda, dateerub, dateerutakse, dateeruge, dateerus, dateerunud, dateerutud
debateerima, debateerida, debateerib, debateeritakse, debateerige, debateeris, debateerinud, debateeritud
debüteerima, debüteerida, debüteerib, debüteeritakse, debüteerige, debüteeris, debüteerinud, debüteeritud
defileerima, defileerida, defileerib, defileeritakse, defileerige, defileeris, defileerinud, defileeritud
defineerima, defineerida, defineerib, defineeritakse, defineerige, defineeris, defineerinud, defineeritud
deformeeruma, deformeeruda, deformeerub, deformeerutakse, deformeeruge, deformeerus, deformeerunud, deformeerutud
degenereeruma, degenereeruda, degenereerub, degenereerutakse, degenereeruge, degenereerus, degenereerunud, degenereerutud
degradeeruma, degradeeruda, degradeerub, degradeerutakse, degradeeruge, degradeerus, degradeerunud, degradeerutud
dehumaniseeruma, dehumaniseeruda, dehumaniseerub, dehumaniseerutakse, dehumaniseeruge, dehumaniseerus, dehumaniseerunud, dehumaniseerutud
