aasima, aasida, aasib, aasitakse, aasige, aasis, aasinud, aasitud
meeldima, meeldida, meeldib, meelditakse, meeldige, meeldis, meeldinud, meelditud
meelduma, meelduda, meeldub, meeldutakse, meelduge, meeldus, meeldunud, meeldutud
meeleolutsema, meeleolutseda, meeleolutseb, meeleolutsetakse, meeleolutsege, meeleolutses, meeleolutsenud, meeleolutsetud
meelestama, meelestada, meelestab, meelestatakse, meelestage, meelestas, meelestanud, meelestatud
meelestuma, meelestuda, meelestub, meelestutakse, meelestuge, meelestus, meelestunud, meelestutud
meeliskelema, meeliskella, meeliskeleb, meeliskellakse, meeliskelge, meeliskeli, meeliskelnud, meeliskeldud
meelisklema, meeliskleda, meeliskleb, meeliskletakse, meelisklege, meeliskles, meelisklenud, meeliskletud
meelitama, meelitada, meelitab, meelitatakse, meelitage, meelitas, meelitanud, meelitatud
meenuma, meenuda, meenub, meenutakse, meenuge, meenus, meenunud, meenutud
mehestuma, mehestuda, mehestub, mehestutakse, mehestuge, mehestus, mehestunud, mehestutud
mehhaniseeruma, mehhaniseeruda, mehhaniseerub, mehhaniseerutakse, mehhaniseeruge, mehhaniseerus, mehhaniseerunud, mehhaniseerutud
mehistuma, mehistuda, mehistub, mehistutakse, mehistuge, mehistus, mehistunud, mehistutud
mehkeldama, mehkeldada, mehkeldab, mehkeldatakse, mehkeldage, mehkeldas, mehkeldanud, mehkeldatud
meisterdama, meisterdada, meisterdab, meisterdatakse, meisterdage, meisterdas, meisterdanud, meisterdatud
melanhoolitsema, melanhoolitseda, melanhoolitseb, melanhoolitsetakse, melanhoolitsege, melanhoolitses, melanhoolitsenud, melanhoolitsetud
memmestuma, memmestuda, memmestub, memmestutakse, memmestuge, memmestus, memmestunud, memmestutud
mendeleeruma, mendeleeruda, mendeleerub, mendeleerutakse, mendeleeruge, mendeleerus, mendeleerunud, mendeleerutud
menstrueerima, menstrueerida, menstrueerib, menstrueeritakse, menstrueerige, menstrueeris, menstrueerinud, menstrueeritud
meruldama, meruldada, meruldab, meruldatakse, meruldage, meruldas, meruldanud, meruldatud
mesitsema, mesitseda, mesitseb, mesitsetakse, mesitsege, mesitses, mesitsenud, mesitsetud
metastaseeruma, metastaseeruda, metastaseerub, metastaseerutakse, metastaseeruge, metastaseerus, metastaseerunud, metastaseerutud
metsastuma, metsastuda, metsastub, metsastutakse, metsastuge, metsastus, metsastunud, metsastutud
metsistuma, metsistuda, metsistub, metsistutakse, metsistuge, metsistus, metsistunud, metsistutud
migreerima, migreerida, migreerib, migreeritakse, migreerige, migreeris, migreerinud, migreeritud
migreeruma, migreeruda, migreerub, migreerutakse, migreeruge, migreerus, migreerunud, migreerutud
miilama, miilata, miilab, miilatakse, miilake, miilas, miilanud, miilatud
mineraliseeruma, mineraliseeruda, mineraliseerub, mineraliseerutakse, mineraliseeruge, mineraliseerus, mineraliseerunud, mineraliseerutud
minestama, minestada, minestab, minestatakse, minestage, minestas, minestanud, minestatud
minestuma, minestuda, minestub, minestutakse, minestuge, minestus, minestunud, minestutud
minetama, minetada, minetab, minetatakse, minetage, minetas, minetanud, minetatud
minkima, minkida, mingib, mingitakse, minkige, minkis, minkinud, mingitud
mitmekesistuma, mitmekesistuda, mitmekesistub, mitmekesistutakse, mitmekesistuge, mitmekesistus, mitmekesistunud, mitmekesistutud
mitmekordistuma, mitmekordistuda, mitmekordistub, mitmekordistutakse, mitmekordistuge, mitmekordistus, mitmekordistunud, mitmekordistutud
mitmestuma, mitmestuda, mitmestub, mitmestutakse, mitmestuge, mitmestus, mitmestunud, mitmestutud
mobiliseerima, mobiliseerida, mobiliseerib, mobiliseeritakse, mobiliseerige, mobiliseeris, mobiliseerinud, mobiliseeritud
mobiliseeruma, mobiliseeruda, mobiliseerub, mobiliseerutakse, mobiliseeruge, mobiliseerus, mobiliseerunud, mobiliseerutud
moderniseeruma, moderniseeruda, moderniseerub, moderniseerutakse, moderniseeruge, moderniseerus, moderniseerunud, moderniseerutud
modernitsema, modernitseda, modernitseb, modernitsetakse, modernitsege, modernitses, modernitsenud, modernitsetud
modifitseeruma, modifitseeruda, modifitseerub, modifitseerutakse, modifitseeruge, modifitseerus, modifitseerunud, modifitseerutud
molutama, molutada, molutab, molutatakse, molutage, molutas, molutanud, molutatud
monopoliseeruma, monopoliseeruda, monopoliseerub, monopoliseerutakse, monopoliseeruge, monopoliseerus, monopoliseerunud, monopoliseerutud
moodustama, moodustada, moodustab, moodustatakse, moodustage, moodustas, moodustanud, moodustatud
moodustuma, moodustuda, moodustub, moodustutakse, moodustuge, moodustus, moodustunud, moodustutud
moondama, moondada, moondab, moondatakse, moondage, moondas, moondanud, moondatud
moonduma, moonduda, moondub, moondutakse, moonduge, moondus, moondunud, moondutud
moraalitsema, moraalitseda, moraalitseb, moraalitsetakse, moraalitsege, moraalitses, moraalitsenud, moraalitsetud
moraliseerima, moraliseerida, moraliseerib, moraliseeritakse, moraliseerige, moraliseeris, moraliseerinud, moraliseeritud
mornistuma, mornistuda, mornistub, mornistutakse, mornistuge, mornistus, mornistunud, mornistutud
mornitsema, mornitseda, mornitseb, mornitsetakse, mornitsege, mornitses, mornitsenud, mornitsetud
motiveerima, motiveerida, motiveerib, motiveeritakse, motiveerige, motiveeris, motiveerinud, motiveeritud
motoriseeruma, motoriseeruda, motoriseerub, motoriseerutakse, motoriseeruge, motoriseerus, motoriseerunud, motoriseerutud
mõistma, mõista, mõistab, mõistetakse, mõistke, mõistis, mõistnud, mõistetud
mõjuma, mõjuda, mõjub, mõjutakse, mõjuge, mõjus, mõjunud, mõjutud
mõjustama, mõjustada, mõjustab, mõjustatakse, mõjustage, mõjustas, mõjustanud, mõjustatud
mõjutama, mõjutada, mõjutab, mõjutatakse, mõjutage, mõjutas, mõjutanud, mõjutatud
mõlgistuma, mõlgistuda, mõlgistub, mõlgistutakse, mõlgistuge, mõlgistus, mõlgistunud, mõlgistutud
mõlgutama, mõlgutada, mõlgutab, mõlgutatakse, mõlgutage, mõlgutas, mõlgutanud, mõlgutatud
mõlkuma, mõlkuda, mõlgub, mõlgutakse, mõlkuge, mõlkus, mõlkunud, mõlgutud
mõnulema, mõnuleda, mõnuleb, mõnuletakse, mõnulege, mõnules, mõnulenud, mõnuletud
mõnutsema, mõnutseda, mõnutseb, mõnutsetakse, mõnutsege, mõnutses, mõnutsenud, mõnutsetud
mõõnama, mõõnata, mõõnab, mõõnatakse, mõõnake, mõõnas, mõõnanud, mõõnatud
mõõtma, mõõta, mõõdab, mõõdetakse, mõõtke, mõõtis, mõõtnud, mõõdetud
mõranema, mõraneda, mõraneb, mõranetakse, mõranege, mõranes, mõranenud, mõranetud
mõrastuma, mõrastuda, mõrastub, mõrastutakse, mõrastuge, mõrastus, mõrastunud, mõrastutud
mõrunema, mõruneda, mõruneb, mõrunetakse, mõrunege, mõrunes, mõrunenud, mõrunetud
mõrustuma, mõrustuda, mõrustub, mõrustutakse, mõrustuge, mõrustus, mõrustunud, mõrustutud
mõtestama, mõtestada, mõtestab, mõtestatakse, mõtestage, mõtestas, mõtestanud, mõtestatud
mõtestuma, mõtestuda, mõtestub, mõtestutakse, mõtestuge, mõtestus, mõtestunud, mõtestutud
mõtlema, mõelda|mõtelda, mõtleb, mõeldakse|mõteldakse, mõelge|mõtelge, mõtles, mõelnud|mõtelnud, mõeldud|mõteldud
mõurama, mõurata, mõurab, mõuratakse, mõurake, mõuras, mõuranud, mõuratud
mudastuma, mudastuda, mudastub, mudastutakse, mudastuge, mudastus, mudastunud, mudastutud
muganduma, muganduda, mugandub, mugandutakse, muganduge, mugandus, mugandunud, mugandutud
muganema, muganeda, muganeb, muganetakse, muganege, muganes, muganenud, muganetud
mugatsema, mugatseda, mugatseb, mugatsetakse, mugatsege, mugatses, mugatsenud, mugatsetud
mugavnema, mugavneda, mugavneb, mugavnetakse, mugavnege, mugavnes, mugavnenud, mugavnetud
muhelema, muhelda|muheleda, muheleb, muheldakse|muheletakse, muhelge|muhelege, muheles, muhelnud|muhelenud, muheldud|muheletud
muhenema, muheneda, muheneb, muhenetakse, muhenege, muhenes, muhenenud, muhenetud
muiahtama, muiahtada, muiahtab, muiahtatakse, muiahtage, muiahtas, muiahtanud, muiahtatud
muiatama, muiatada, muiatab, muiatatakse, muiatage, muiatas, muiatanud, muiatatud
muigama, muiata, muigab, muiatakse, muiake, muigas, muianud, muiatud
muiglema, muielda, muigleb, muieldakse, muielge, muigles, muielnud, muieldud
muisklema, muiselda, muiskleb, muiseldakse, muiselge, muiskles, muiselnud, muiseldud
mulama, mulada, mulab, mulatakse, mulage, mulas, mulanud, mulatud
mulduma, mulduda, muldub, muldutakse, mulduge, muldus, muldunud, muldutud
mulgustuma, mulgustuda, mulgustub, mulgustutakse, mulgustuge, mulgustus, mulgustunud, mulgustutud
mulisema, muliseda, muliseb, mulisetakse, mulisege, mulises, mulisenud, mulisetud
muljuma, muljuda, muljub, muljutakse, muljuge, muljus, muljunud, muljutud
mulksatama, mulksatada, mulksatab, mulksatatakse, mulksatage, mulksatas, mulksatanud, mulksatatud
mulksuma, mulksuda, mulksub, mulksutakse, mulksuge, mulksus, mulksunud, mulksutud
mullastuma, mullastuda, mullastub, mullastutakse, mullastuge, mullastus, mullastunud, mullastutud
mullitama, mullitada, mullitab, mullitatakse, mullitage, mullitas, mullitanud, mullitatud
mullitsema, mullitseda, mullitseb, mullitsetakse, mullitsege, mullitses, mullitsenud, mullitsetud
mumifitseeruma, mumifitseeruda, mumifitseerub, mumifitseerutakse, mumifitseeruge, mumifitseerus, mumifitseerunud, mumifitseerutud
munserdama, munserdada, munserdab, munserdatakse, munserdage, munserdas, munserdanud, munserdatud
murastama, murastada, murastab, murastatakse, murastage, murastas, murastanud, murastatud
murdma, murda, murrab, murtakse, murdke, murdis, murdnud, murtud
murduma, murduda, murdub, murdutakse, murduge, murdus, murdunud, murdutud
murenema, mureneda, mureneb, murenetakse, murenege, murenes, murenenud, murenetud
murustuma, murustuda, murustub, murustutakse, murustuge, murustus, murustunud, murustutud
musitseerima, musitseerida, musitseerib, musitseeritakse, musitseerige, musitseeris, musitseerinud, musitseeritud
mustendama, mustendada, mustendab, mustendatakse, mustendage, mustendas, mustendanud, mustendatud
mustenema, musteneda, musteneb, mustenetakse, mustenege, mustenes, mustenenud, mustenetud
mustuma, mustuda, mustub, mustutakse, mustuge, mustus, mustunud, mustutud
muteeruma, muteeruda, muteerub, muteerutakse, muteeruge, muteerus, muteerunud, muteerutud
muuma, muuda, muub, muudakse, muuge, muus, muunud, muudud
muugima, muugida, muugib, muugitakse, muugige, muugis, muuginud, muugitud
muumiastuma, muumiastuda, muumiastub, muumiastutakse, muumiastuge, muumiastus, muumiastunud, muumiastutud
muunduma, muunduda, muundub, muundutakse, muunduge, muundus, muundunud, muundutud
muutma, muuta, muudab, muudetakse, muutke, muutis, muutnud, muudetud
muutuma, muutuda, muutub, muututakse, muutuge, muutus, muutunud, muututud
mädanema, mädaneda, mädaneb, mädanetakse, mädanege, mädanes, mädanenud, mädanetud
mädastuma, mädastuda, mädastub, mädastutakse, mädastuge, mädastus, mädastunud, mädastutud
mähkima, mähkida, mähib, mähitakse, mähkige, mähkis, mähkinud, mähitud
mähkuma, mähkuda, mähkub, mähkutakse, mähkuge, mähkus, mähkunud, mähkutud
mälestuma, mälestuda, mälestub, mälestutakse, mälestuge, mälestus, mälestunud, mälestutud
mäletama, mäletada, mäletab, mäletatakse, mäletage, mäletas, mäletanud, mäletatud
mängima, mängida, mängib, mängitakse, mängige, mängis, mänginud, mängitud
mänglema, mängelda, mängleb, mängeldakse, mängelge, mängles, mängelnud, mängeldud
mänguma, mänguda, mängub, mängutakse, mänguge, mängus, mängunud, mängutud
märatsema, märatseda, märatseb, märatsetakse, märatsege, märatses, märatsenud, märatsetud
märguma, märguda, märgub, märgutakse, märguge, märgus, märgunud, märgutud
märkama, märgata, märkab, märgatakse, märgake, märkas, märganud, märgatud
märkima, märkida, märgib, märgitakse, märkige, märkis, märkinud, märgitud
märuldama, märuldada, märuldab, märuldatakse, märuldage, märuldas, märuldanud, märuldatud
mäslema, mässelda, mäsleb, mässeldakse, mässelge, mäsles, mässelnud, mässeldud
mässama, mässata, mässab, mässatakse, mässake, mässas, mässanud, mässatud
mässima, mässida, mässib, mässitakse, mässige, mässis, mässinud, mässitud
mässuma, mässuda, mässub, mässutakse, mässuge, mässus, mässunud, mässutud
mässutsema, mässutseda, mässutseb, mässutsetakse, mässutsege, mässutses, mässutsenud, mässutsetud
määrama, määrata, määrab, määratakse, määrake, määras, määranud, määratud
määrdima, määrdida, määrdib, määrditakse, määrdige, määrdis, määrdinud, määrditud
määrduma, määrduda, määrdub, määrdutakse, määrduge, määrdus, määrdunud, määrdutud
määrima, määrida, määrib, määritakse, määrige, määris, määrinud, määritud
möhitama, möhitada, möhitab, möhitatakse, möhitage, möhitas, möhitanud, möhitatud
möirahtama, möirahtada, möirahtab, möirahtatakse, möirahtage, möirahtas, möirahtanud, möirahtatud
möiratama, möiratada, möiratab, möiratatakse, möiratage, möiratas, möiratanud, möiratatud
möirgama, möirata, möirgab, möiratakse, möirake, möirgas, möiranud, möiratud
mökutama, mökutada, mökutab, mökutatakse, mökutage, mökutas, mökutanud, mökutatud
mölama, mölada, mölab, mölatakse, mölage, mölas, mölanud, mölatud
mölistama, mölistada, mölistab, mölistatakse, mölistage, mölistas, mölistanud, mölistatud
möllama, möllata, möllab, möllatakse, möllake, möllas, möllanud, möllatud
möratama, möratada, möratab, möratatakse, möratage, möratas, möratanud, möratatud
möurama, möurata, möurab, möuratakse, möurake, möuras, möuranud, möuratud
möödanema, möödaneda, möödaneb, möödanetakse, möödanege, möödanes, möödanenud, möödanetud
mööduma, mööduda, möödub, möödutakse, mööduge, möödus, möödunud, möödutud
möögima, möögida, möögib, möögitakse, möögige, möögis, mööginud, möögitud
möökima, möökida, möögib, möögitakse, möökige, möökis, möökinud, möögitud
müdisema, müdiseda, müdiseb, müdisetakse, müdisege, müdises, müdisenud, müdisetud
müdistama, müdistada, müdistab, müdistatakse, müdistage, müdistas, müdistanud, müdistatud
mügarduma, mügarduda, mügardub, mügardutakse, mügarduge, mügardus, mügardunud, mügardutud
mügima, mügida, mügib, mügitakse, mügige, mügis, müginud, mügitud
mühama, mühada, mühab, mühatakse, mühage, mühas, mühanud, mühatud
mühisema, mühiseda, mühiseb, mühisetakse, mühisege, mühises, mühisenud, mühisetud
mühkima, mühkida, mühib, mühitakse, mühkige, mühkis, mühkinud, mühitud
mükerdama, mükerdada, mükerdab, mükerdatakse, mükerdage, mükerdas, mükerdanud, mükerdatud
mükslema, mükselda, müksleb, mükseldakse, mükselge, müksles, mükselnud, mükseldud
müksama, müksata, müksab, müksatakse, müksake, müksas, müksanud, müksatud
mültuma, mültuda, mültub, mültutakse, mültuge, mültus, mültunud, mültutud
mürahtama, mürahtada, mürahtab, mürahtatakse, mürahtage, mürahtas, mürahtanud, mürahtatud
mürama, mürada, mürab, müratakse, mürage, müras, müranud, müratud
mürgeldama, mürgeldada, mürgeldab, mürgeldatakse, mürgeldage, mürgeldas, mürgeldanud, mürgeldatud
mürgistuma, mürgistuda, mürgistub, mürgistutakse, mürgistuge, mürgistus, mürgistunud, mürgistutud
mürgituma, mürgituda, mürgitub, mürgitutakse, mürgituge, mürgitus, mürgitunud, mürgitutud
mürisema, müriseda, müriseb, mürisetakse, mürisege, mürises, mürisenud, mürisetud
mürtsuma, mürtsuda, mürtsub, mürtsutakse, mürtsuge, mürtsus, mürtsunud, mürtsutud
mürtuma, mürtuda, mürtub, mürtutakse, mürtuge, mürtus, mürtunud, mürtutud
mütsuma, mütsuda, mütsub, mütsutakse, mütsuge, mütsus, mütsunud, mütsutud
müübima, müübida, müübib, müübitakse, müübige, müübis, müübinud, müübitud
müügima, müügida, müügib, müügitakse, müügige, müügis, müüginud, müügitud
müürama, müürata, müürab, müüratakse, müürake, müüras, müüranud, müüratud
naabrutsema, naabrutseda, naabrutseb, naabrutsetakse, naabrutsege, naabrutses, naabrutsenud, naabrutsetud
naaklema, naagelda, naakleb, naageldakse, naagelge, naakles, naagelnud, naageldud
naalduma, naalduda, naaldub, naaldutakse, naalduge, naaldus, naaldunud, naaldutud
naelduma, naelduda, naeldub, naeldutakse, naelduge, naeldus, naeldunud, naeldutud
naeluma, naeluda, naelub, naelutakse, naeluge, naelus, naelunud, naelutud
naelutuma, naelutuda, naelutub, naelututakse, naelutuge, naelutus, naelutunud, naelututud
naeratama, naeratada, naeratab, naeratatakse, naeratage, naeratas, naeratanud, naeratatud
naeratlema, naeratleda, naeratleb, naeratletakse, naeratlege, naeratles, naeratlenud, naeratletud
naerlema, naerelda, naerleb, naereldakse, naerelge, naerles, naerelnud, naereldud
naeruvääristuma, naeruvääristuda, naeruvääristub, naeruvääristutakse, naeruvääristuge, naeruvääristus, naeruvääristunud, naeruvääristutud
nagisema, nagiseda, nagiseb, nagisetakse, nagisege, nagises, nagisenud, nagisetud
nahastuma, nahastuda, nahastub, nahastutakse, nahastuge, nahastus, nahastunud, nahastutud
nahisema, nahiseda, nahiseb, nahisetakse, nahisege, nahises, nahisenud, nahisetud
nahkuma, nahkuda, nahkub, nahkutakse, nahkuge, nahkus, nahkunud, nahkutud
naiivitsema, naiivitseda, naiivitseb, naiivitsetakse, naiivitsege, naiivitses, naiivitsenud, naiivitsetud
naisestuma, naisestuda, naisestub, naisestutakse, naisestuge, naisestus, naisestunud, naisestutud
naitma, naita, naidab, naidetakse, naitke, naitis, naitnud, naidetud
naituma, naituda, naitub, naitutakse, naituge, naitus, naitunud, naitutud
najatuma, najatuda, najatub, najatutakse, najatuge, najatus, najatunud, najatutud
nakatama, nakatada, nakatab, nakatatakse, nakatage, nakatas, nakatanud, nakatatud
nakatuma, nakatuda, nakatub, nakatutakse, nakatuge, nakatus, nakatunud, nakatutud
nakkama, nakata, nakkab, nakatakse, nakake, nakkas, nakanud, nakatud
nakkuma, nakkuda, nakkub, nakkutakse, nakkuge, nakkus, nakkunud, nakkutud
naksuma, naksuda, naksub, naksutakse, naksuge, naksus, naksunud, naksutud
naljatama, naljatada, naljatab, naljatatakse, naljatage, naljatas, naljatanud, naljatatud
naljatlema, naljatleda, naljatleb, naljatletakse, naljatlege, naljatles, naljatlenud, naljatletud
nappima, nappida, napib, napitakse, nappige, nappis, nappinud, napitud
napsitama, napsitada, napsitab, napsitatakse, napsitage, napsitas, napsitanud, napsitatud
napsutama, napsutada, napsutab, napsutatakse, napsutage, napsutas, napsutanud, napsutatud
narmastuma, narmastuda, narmastub, narmastutakse, narmastuge, narmastus, narmastunud, narmastutud
narmendama, narmendada, narmendab, narmendatakse, narmendage, narmendas, narmendanud, narmendatud
narritama, narritada, narritab, narritatakse, narritage, narritas, narritanud, narritatud
natsionaliseerima, natsionaliseerida, natsionaliseerib, natsionaliseeritakse, natsionaliseerige, natsionaliseeris, natsionaliseerinud, natsionaliseeritud
nasaleeruma, nasaleeruda, nasaleerub, nasaleerutakse, nasaleeruge, nasaleerus, nasaleerunud, nasaleerutud
nattima, nattida, natib, natitakse, nattige, nattis, nattinud, natitud
naturaliseeruma, naturaliseeruda, naturaliseerub, naturaliseerutakse, naturaliseeruge, naturaliseerus, naturaliseerunud, naturaliseerutud
nautima, nautida, naudib, nauditakse, nautige, nautis, nautinud, nauditud
neelduma, neelduda, neeldub, neeldutakse, neelduge, neeldus, neeldunud, neeldutud
neetima, neetida, needib, needitakse, neetige, neetis, neetinud, needitud
neljakordistuma, neljakordistuda, neljakordistub, neljakordistutakse, neljakordistuge, neljakordistus, neljakordistunud, neljakordistutud
nestima, nestida, nestib, nestitakse, nestige, nestis, nestinud, nestitud
neutraliseeruma, neutraliseeruda, neutraliseerub, neutraliseerutakse, neutraliseeruge, neutraliseerus, neutraliseerunud, neutraliseerutud
nigisema, nigiseda, nigiseb, nigisetakse, nigisege, nigises, nigisenud, nigisetud
nihelema, nihelda|niheleda, niheleb, niheldakse|niheletakse, nihelge|nihelege, niheles, nihelnud|nihelenud, niheldud|niheletud
nihestuma, nihestuda, nihestub, nihestutakse, nihestuge, nihestus, nihestunud, nihestutud
nihkuma, nihkuda, nihkub, nihkutakse, nihkuge, nihkus, nihkunud, nihkutud
nihutama, nihutada, nihutab, nihutatakse, nihutage, nihutas, nihutanud, nihutatud
nihutuma, nihutuda, nihutub, nihututakse, nihutuge, nihutus, nihutunud, nihututud
nihvatama, nihvatada, nihvatab, nihvatatakse, nihvatage, nihvatas, nihvatanud, nihvatatud
nihveldama, nihveldada, nihveldab, nihveldatakse, nihveldage, nihveldas, nihveldanud, nihveldatud
nihverdama, nihverdada, nihverdab, nihverdatakse, nihverdage, nihverdas, nihverdanud, nihverdatud
niiksatama, niiksatada, niiksatab, niiksatatakse, niiksatage, niiksatas, niiksatanud, niiksatatud
niiksuma, niiksuda, niiksub, niiksutakse, niiksuge, niiksus, niiksunud, niiksutud
niiskuma, niiskuda, niiskub, niiskutakse, niiskuge, niiskus, niiskunud, niiskutud
niitsatama, niitsatada, niitsatab, niitsatatakse, niitsatage, niitsatas, niitsatanud, niitsatatud
niitsuma, niitsuda, niitsub, niitsutakse, niitsuge, niitsus, niitsunud, niitsutud
nikastuma, nikastuda, nikastub, nikastutakse, nikastuge, nikastus, nikastunud, nikastutud
niksuma, niksuda, niksub, niksutakse, niksuge, niksus, niksunud, niksutud
nimetama, nimetada, nimetab, nimetatakse, nimetage, nimetas, nimetanud, nimetatud
nipitama, nipitada, nipitab, nipitatakse, nipitage, nipitas, nipitanud, nipitatud
niretama, niretada, niretab, niretatakse, niretage, niretas, niretanud, niretatud
nirguma, nirguda, nirgub, nirgutakse, nirguge, nirgus, nirgunud, nirgutud
nirisema, niriseda, niriseb, nirisetakse, nirisege, nirises, nirisenud, nirisetud
nirtsutama, nirtsutada, nirtsutab, nirtsutatakse, nirtsutage, nirtsutas, nirtsutanud, nirtsutatud
nitrifitseeruma, nitrifitseeruda, nitrifitseerub, nitrifitseerutakse, nitrifitseeruge, nitrifitseerus, nitrifitseerunud, nitrifitseerutud
niuguma, niuguda, niugub, niugutakse, niuguge, niugus, niugunud, niugutud
niuksuma, niuksuda, niuksub, niuksutakse, niuksuge, niuksus, niuksunud, niuksutud
niutsuma, niutsuda, niutsub, niutsutakse, niutsuge, niutsus, niutsunud, niutsutud
nivelleeruma, nivelleeruda, nivelleerub, nivelleerutakse, nivelleeruge, nivelleerus, nivelleerunud, nivelleerutud
nohatama, nohatada, nohatab, nohatatakse, nohatage, nohatas, nohatanud, nohatatud
nohhitama, nohhitada, nohhitab, nohhitatakse, nohhitage, nohhitas, nohhitanud, nohhitatud
nohisema, nohiseda, nohiseb, nohisetakse, nohisege, nohises, nohisenud, nohisetud
nohistama, nohistada, nohistab, nohistatakse, nohistage, nohistas, nohistanud, nohistatud
nohutama, nohutada, nohutab, nohutatakse, nohutage, nohutas, nohutanud, nohutatud
nokastama, nokastada, nokastab, nokastatakse, nokastage, nokastas, nokastanud, nokastatud
nokastuma, nokastuda, nokastub, nokastutakse, nokastuge, nokastus, nokastunud, nokastutud
nolgutama, nolgutada, nolgutab, nolgutatakse, nolgutage, nolgutas, nolgutanud, nolgutatud
nolutama, nolutada, nolutab, nolutatakse, nolutage, nolutas, nolutanud, nolutatud
nomadiseerima, nomadiseerida, nomadiseerib, nomadiseeritakse, nomadiseerige, nomadiseeris, nomadiseerinud, nomadiseeritud
noolduma, noolduda, nooldub, nooldutakse, noolduge, nooldus, nooldunud, nooldutud
noomima, noomida, noomib, noomitakse, noomige, noomis, noominud, noomitud
noorduma, noorduda, noordub, noordutakse, noorduge, noordus, noordunud, noordutud
noorenema, nooreneda, nooreneb, noorenetakse, noorenege, noorenes, noorenenud, noorenetud
noorutsema, noorutseda, noorutseb, noorutsetakse, noorutsege, noorutses, noorutsenud, noorutsetud
noppima, noppida, nopib, nopitakse, noppige, noppis, noppinud, nopitud
norguma, norguda, norgub, norgutakse, norguge, norgus, norgunud, norgutud
norgutama, norgutada, norgutab, norgutatakse, norgutage, norgutas, norgutanud, norgutatud
normaliseeruma, normaliseeruda, normaliseerub, normaliseerutakse, normaliseeruge, normaliseerus, normaliseerunud, normaliseerutud
norskama, norsata, norskab, norsatakse, norsake, norskas, norsanud, norsatud
nõdrenema, nõdreneda, nõdreneb, nõdrenetakse, nõdrenege, nõdrenes, nõdrenenud, nõdrenetud
nõelama, nõelata, nõelab, nõelatakse, nõelake, nõelas, nõelanud, nõelatud
nõetuma, nõetuda, nõetub, nõetutakse, nõetuge, nõetus, nõetunud, nõetutud
nõguma, nõguda, nõgub, nõgutakse, nõguge, nõgus, nõgunud, nõgutud
nõgunema, nõguneda, nõguneb, nõgunetakse, nõgunege, nõgunes, nõgunenud, nõgunetud
nõjatuma, nõjatuda, nõjatub, nõjatutakse, nõjatuge, nõjatus, nõjatunud, nõjatutud
nõksatama, nõksatada, nõksatab, nõksatatakse, nõksatage, nõksatas, nõksatanud, nõksatatud
nõksatuma, nõksatuda, nõksatub, nõksatutakse, nõksatuge, nõksatus, nõksatunud, nõksatutud
nõkslema, nõkselda, nõksleb, nõkseldakse, nõkselge, nõksles, nõkselnud, nõkseldud
nõksuma, nõksuda, nõksub, nõksutakse, nõksuge, nõksus, nõksunud, nõksutud
nõrendama, nõrendada, nõrendab, nõrendatakse, nõrendage, nõrendas, nõrendanud, nõrendatud
nõretama, nõretada, nõretab, nõretatakse, nõretage, nõretas, nõretanud, nõretatud
nõrgenema, nõrgeneda, nõrgeneb, nõrgenetakse, nõrgenege, nõrgenes, nõrgenenud, nõrgenetud
nõrgestuma, nõrgestuda, nõrgestub, nõrgestutakse, nõrgestuge, nõrgestus, nõrgestunud, nõrgestutud
nõrguma, nõrguda, nõrgub, nõrgutakse, nõrguge, nõrgus, nõrgunud, nõrgutud
nõrisema, nõriseda, nõriseb, nõrisetakse, nõrisege, nõrises, nõrisenud, nõrisetud
nõristuma, nõristuda, nõristub, nõristutakse, nõristuge, nõristus, nõristunud, nõristutud
nõrkema, nõrkeda, nõrkeb, nõrketakse, nõrkege, nõrkes, nõrkenud, nõrketud
nõrkuma, nõrkuda, nõrkub, nõrkutakse, nõrkuge, nõrkus, nõrkunud, nõrkutud
nõrutama, nõrutada, nõrutab, nõrutatakse, nõrutage, nõrutas, nõrutanud, nõrutatud
nõtkestuma, nõtkestuda, nõtkestub, nõtkestutakse, nõtkestuge, nõtkestus, nõtkestunud, nõtkestutud
nõtkuma, nõtkuda, nõtkub, nõtkutakse, nõtkuge, nõtkus, nõtkunud, nõtkutud
nõtruma, nõtruda, nõtrub, nõtrutakse, nõtruge, nõtrus, nõtrunud, nõtrutud
nõudma, nõuda, nõuab, nõutakse, nõudke, nõudis, nõudnud, nõutud
nõusklema, nõuselda, nõuskleb, nõuseldakse, nõuselge, nõuskles, nõuselnud, nõuseldud
nõustuma, nõustuda, nõustub, nõustutakse, nõustuge, nõustus, nõustunud, nõustutud
nõutama, nõutada, nõutab, nõutatakse, nõutage, nõutas, nõutanud, nõutatud
nõutlema, nõutleda, nõutleb, nõutletakse, nõutlege, nõutles, nõutlenud, nõutletud
nudistuma, nudistuda, nudistub, nudistutakse, nudistuge, nudistus, nudistunud, nudistutud
nugima, nugida, nugib, nugitakse, nugige, nugis, nuginud, nugitud
nuhatama, nuhatada, nuhatab, nuhatatakse, nuhatage, nuhatas, nuhatanud, nuhatatud
nuhtlema, nuhelda, nuhtleb, nuheldakse, nuhelge, nuhtles, nuhelnud, nuheldud
nukkuma, nukkuda, nukkub, nukkutakse, nukkuge, nukkus, nukkunud, nukkutud
nukruma, nukruda, nukrub, nukrutakse, nukruge, nukrus, nukrunud, nukrutud
