aabe, aape, aabet, aapesse, aabete, aapeid
adverb, adverbi, adverbi, adverbisse|adverbi, adverbide, adverbe|adverbisid
adverbiaal, adverbiaali, adverbiaali, adverbiaalisse|adverbiaali, adverbiaalide, adverbiaale|adverbiaalisid
advokaat, advokaadi, advokaati, advokaadisse|advokaati, advokaatide, advokaate|advokaatisid
advokaatkond, advokaatkonna, advokaatkonda, advokaatkonnasse|advokaatkonda, advokaatkondade, advokaatkondi|advokaatkondasid
advokatuur, advokatuuri, advokatuuri, advokatuurisse|advokatuuri, advokatuuride, advokatuure|advokatuurisid
aed, aia, aeda, aiasse|aeda, aedade, aedu|aedasid
aedik, aediku, aedikut, aedikusse, aedikute, aedikuid
aednik, aedniku, aednikku, aednikusse|aednikku, aednike|aednikkude, aednikke|aednikkusid
aeg, aja, aega, ajasse|aega, aegade, aegu|aegasid
aegkond, aegkonna, aegkonda, aegkonnasse|aegkonda, aegkondade, aegkondi|aegkondasid
aeglus, aegluse, aeglust, aeglusesse|aeglusse, aegluste, aeglusi|aegluseid
aeglustaja, aeglustaja, aeglustajat, aeglustajasse, aeglustajate, aeglustajaid
aeglustamine, aeglustamise, aeglustamist, aeglustamisesse|aeglustamisse, aeglustamiste, aeglustamisi
aeglustuja, aeglustuja, aeglustujat, aeglustujasse, aeglustujate, aeglustujaid
aeglustumine, aeglustumise, aeglustumist, aeglustumisesse|aeglustumisse, aeglustumiste, aeglustumisi
aeglustus, aeglustuse, aeglustust, aeglustusesse|aeglustusse, aeglustuste, aeglustusi
aegsus, aegsuse, aegsust, aegsusesse|aegsusse, aegsuste, aegsusi|aegsuseid
aeguja, aeguja, aegujat, aegujasse, aegujate, aegujaid
aegumine, aegumise, aegumist, aegumisesse|aegumisse, aegumiste, aegumisi
aeleja, aeleja, aelejat, aelejasse, aelejate, aelejaid
aelemine, aelemise, aelemist, aelemisesse|aelemisse, aelemiste, aelemisi
aer, aeru, aeru, aerusse|aeru, aerude, aere|aerusid
